Scientific_name,English_name_AviList,Portuguese (Portugal),IUCN_Red_List_Category
Tachyspiza erythropus erythropus,,,
Tachyspiza erythropus zenkeri,,,
Tachyspiza minulla,Little Sparrowhawk,Little sparrowhawk,LC
Tachyspiza minulla tropicalis,,,
Tachyspiza minulla minulla,,,
Tachyspiza virgata,Besra,Besra,LC
Tachyspiza virgata affinis,,,
Tachyspiza virgata fuscipectus,,,
Tachyspiza virgata besra,,,
Tachyspiza virgata vanbemmeli,,,
Tachyspiza virgata rufotibialis,,,
Tachyspiza virgata virgata,,,
Tachyspiza virgata quinquefasciata,,,
Tachyspiza virgata abdulalii,,,
Tachyspiza virgata confusa,,,
Tachyspiza virgata quagga,,,
Tachyspiza nanus,Dwarf Sparrowhawk,Small sparrowhawk,LC
Tachyspiza erythrauchen,Rufous-necked Sparrowhawk,Rufous-necked sparrowhawk,LC
Tachyspiza erythrauchen erythrauchen,,,
Tachyspiza erythrauchen ceramensis,,,
Tachyspiza cirrocephala,Collared Sparrowhawk,Collared sparrowhawk,LC
Tachyspiza cirrocephala papuana,,,
Tachyspiza cirrocephala cirrocephala,,,
Tachyspiza brachyura,New Britain Sparrowhawk,New britain sparrowhawk,VU
Tachyspiza rhodogaster,Vinous-breasted Sparrowhawk,Vinous-breasted sparrowhawk,LC
Tachyspiza rhodogaster rhodogaster,,,
Tachyspiza rhodogaster butonensis,,,
Tachyspiza rhodogaster sulaensis,,,
Tachyspiza gularis,Japanese Sparrowhawk,Gavião-japonês,LC
Tachyspiza gularis sibirica,,,
Tachyspiza gularis gularis,,,
Tachyspiza gularis iwasakii,,,
Tachyspiza badia,Shikra,Gavião-chicra,LC
Tachyspiza badia sphenura,,,
Tachyspiza badia polyzonoides,,,
Tachyspiza badia cenchroides,,,
Tachyspiza badia dussumieri,,,
Tachyspiza badia poliopsis,,,
Tachyspiza badia badia,,,
Tachyspiza butleri,Nicobar Sparrowhawk,Nicobar sparrowhawk,VU
Tachyspiza butleri butleri,,,
Tachyspiza butleri obsoleta,,,
Tachyspiza brevipes,Levant Sparrowhawk,Gavião-do-levante,LC
Tachyspiza soloensis,Chinese Sparrowhawk,Gavião-chinês,LC
Tachyspiza imitator,Imitator Goshawk,Imitator sparrowhawk,NT
Tachyspiza francesiae,Frances's Sparrowhawk,Frances's sparrowhawk,LC
Tachyspiza francesiae francesiae,,,
Tachyspiza francesiae griveaudi,,,
Tachyspiza francesiae pusilla,,,
Tachyspiza francesiae bruta,,,
Tachyspiza trinotata,Spot-tailed Sparrowhawk,Spot-tailed goshawk,LC
Tachyspiza poliocephala,Grey-headed Goshawk,Gray-headed goshawk,LC
Tachyspiza princeps,New Britain Goshawk,New britain goshawk,VU
Tachyspiza novaehollandiae,Grey Goshawk,Gray goshawk,LC
Tachyspiza hiogaster,Variable Goshawk,Variable goshawk,NE
Tachyspiza hiogaster sylvestris,,,
Tachyspiza hiogaster polionota,,,
Tachyspiza hiogaster mortyi,,,
Tachyspiza hiogaster griseogularis,,,
Tachyspiza hiogaster obiensis,,,
Tachyspiza hiogaster hiogaster,,,
Tachyspiza hiogaster pallidiceps,,,
Tachyspiza hiogaster albiventris,,,
Tachyspiza hiogaster leucosoma,,,
Tachyspiza hiogaster misoriensis,,,
Tachyspiza hiogaster pallidimas,,,
Tachyspiza hiogaster misulae,,,
Tachyspiza hiogaster lavongai,,,
Tachyspiza hiogaster matthiae,,,
Tachyspiza hiogaster manusi,,,
Tachyspiza hiogaster dampieri,,,
Tachyspiza hiogaster lihirensis,,,
Tachyspiza hiogaster bougainvillei,,,
Tachyspiza hiogaster rufoschistacea,,,
Tachyspiza hiogaster rubianae,,,
Tachyspiza hiogaster malaitae,,,
Tachyspiza hiogaster pulchella,,,
Tachyspiza melanochlamys,Black-mantled Goshawk,Black-mantled goshawk,LC
Tachyspiza albogularis,Pied Goshawk,Pied goshawk,LC
Tachyspiza albogularis eichhorni,,,
Tachyspiza albogularis woodfordi,,,
Tachyspiza albogularis gilva,,,
Tachyspiza albogularis albogularis,,,
Tachyspiza albogularis sharpei,,,
Tachyspiza rufitorques,Fiji Goshawk,Fiji goshawk,LC
Tachyspiza henicogramma,Moluccan Goshawk,Moluccan goshawk,NT
Tachyspiza luteoschistacea,Slaty-mantled Goshawk,Slaty-mantled goshawk,VU
Tachyspiza haplochrous,White-bellied Goshawk,New caledonian goshawk,NT
Tachyspiza fasciata,Brown Goshawk,Açor-australiano,LC
Tachyspiza fasciata natalis,,,
Tachyspiza fasciata wallacii,,,
Tachyspiza fasciata tjendanae,,,
Tachyspiza fasciata stresemanni,,,
Tachyspiza fasciata savu,,,
Tachyspiza fasciata hellmayri,,,
Tachyspiza fasciata buruensis,,,
Tachyspiza fasciata dogwa,,,
Tachyspiza fasciata polycrypta,,,
Tachyspiza fasciata vigilax,,,
Tachyspiza fasciata didimus,,,
Tachyspiza fasciata fasciata,,,
Tachyspiza fasciata rosseliana,,,
Erythrotriorchis,,,
Erythrotriorchis radiatus,Red Goshawk,Red goshawk,EN
Erythrotriorchis buergersi,Chestnut-shouldered Goshawk,Chestnut-shouldered goshawk,NT
Accipiter,,,
Accipiter poliogaster,Grey-bellied Hawk,Tauató-pintado,NT
Accipiter madagascariensis,Madagascar Sparrowhawk,Madagascar sparrowhawk,NT
Accipiter ovampensis,Ovambo Sparrowhawk,Ovambo sparrowhawk,LC
Accipiter striatus,Sharp-shinned Hawk,Gavião-miúdo,LC
Accipiter striatus perobscurus,,,
Accipiter striatus velox,,,
Accipiter striatus suttoni,,,
Accipiter striatus madrensis,,,
Accipiter striatus fringilloides,,,
Accipiter striatus striatus,,,
Accipiter striatus venator,,,
Accipiter striatus chionogaster,,,
Accipiter striatus ventralis,,,
Accipiter striatus erythronemius,,,
Accipiter rufiventris,Rufous-breasted Sparrowhawk,Rufous-breasted sparrowhawk,LC
Accipiter rufiventris perspicillaris,,,
Accipiter rufiventris rufiventris,,,
Accipiter nisus,Eurasian Sparrowhawk,Gavião,LC
Accipiter nisus nisus,,,
Accipiter nisus nisosimilis,,,
Accipiter nisus dementjevi,,,
Accipiter nisus melaschistos,,,
Accipiter nisus wolterstorffi,,,
Accipiter nisus punicus,,,
Accipiter nisus granti,,,
Astur,,,
Astur cooperii,Cooper's Hawk,Cooper's hawk,LC
Astur gundlachi,Gundlach's Hawk,Gundlach's hawk,EN
Astur gundlachi gundlachi,,,
Astur gundlachi wileyi,,,
Astur chilensis,Chilean Hawk,Chilean hawk,NE
Astur bicolor,Bicolored Hawk,Gavião-bombachinha-grande,NE
Astur bicolor bicolor,,,
Astur bicolor fidens,,,
Astur bicolor guttifer,,,
Astur bicolor pileatus,,,
Astur atricapillus,American Goshawk,American goshawk,NE
Astur atricapillus atricapillus,,,
Astur atricapillus laingi,,,
Astur atricapillus apache,,,
Astur meyerianus,Meyer's Goshawk,Meyer's goshawk,LC
Astur gentilis,Eurasian Goshawk,Açor,NE
Astur gentilis buteoides,,,
Astur gentilis albidus,,,
Astur gentilis schvedowi,,,
Astur gentilis fujiyamae,,,
Astur gentilis gentilis,,,
Astur gentilis marginatus,,,
Astur gentilis arrigonii,,,
Astur henstii,Henst's Goshawk,Henst's goshawk,VU
Astur melanoleucus,Black Sparrowhawk,Black goshawk,LC
Astur melanoleucus temminckii,,,
Astur melanoleucus melanoleucus,,,
Megatriorchis,,,
Megatriorchis doriae,Doria's Hawk,Doria's hawk,LC
Circus,,,
Circus assimilis,Spotted Harrier,Tartaranhão-malhado,LC
Circus macrourus,Pallid Harrier,Tartaranhão-pálido,NT
Circus maurus,Black Harrier,Black harrier,EN
Circus cyaneus,Hen Harrier,Tartaranhão-cinzento,LC
Circus hudsonius,Northern Harrier,Tartaranhão-cinzento-americano,LC
Circus cinereus,Cinereous Harrier,Tartaranhão-cinzento-sul-americano,LC
Circus buffoni,Long-winged Harrier,Tartaranhão-dos-charcos,LC
Circus pygargus,Montagu's Harrier,Águia-caçadeira,LC
Circus melanoleucos,Pied Harrier,Pied harrier,LC
Circus ranivorus,African Marsh Harrier,African marsh harrier,LC
Circus aeruginosus,Western Marsh Harrier,Águia-sapeira,LC
Circus aeruginosus aeruginosus,,,
Circus aeruginosus harterti,,,
Circus maillardi,Reunion Harrier,Reunion harrier,EN
Circus macrosceles,Malagasy Harrier,Malagasy harrier,EN
Circus approximans,Swamp Harrier,Swamp harrier,LC
Circus spilonotus,Eastern Marsh Harrier,Eastern marsh harrier,LC
Circus spilothorax,Papuan Harrier,Papuan harrier,LC
Harpagus,,,
Harpagus diodon,Rufous-thighed Kite,Gavião-bombachinha,LC
Harpagus bidentatus,Double-toothed Kite,Gavião-ripina,LC
Harpagus bidentatus fasciatus,,,
Harpagus bidentatus bidentatus,,,
Microspizias,,,
Microspizias collaris,Semicollared Hawk,Semicollared hawk,LC
Microspizias superciliosus,Tiny Hawk,Gavião-miudinho,LC
Microspizias superciliosus fontainieri,,,
Microspizias superciliosus superciliosus,,,
Haliastur,,,
Haliastur sphenurus,Whistling Kite,Whistling kite,LC
Haliastur indus,Brahminy Kite,Milhafre-de-dorso-ruivo,LC
Haliastur indus indus,,,
Haliastur indus intermedius,,,
Haliastur indus girrenera,,,
Haliastur indus flavirostris,,,
Milvus,,,
Milvus milvus,Red Kite,Milhafre-real,LC
Milvus milvus milvus,,,
Milvus milvus fasciicauda,,,
Milvus migrans,Black Kite,Milhafre-preto,NE
Milvus migrans migrans,,,
Milvus migrans aegyptius,,,
Milvus migrans parasitus,,,
Milvus migrans lineatus,,,
Milvus migrans govinda,,,
Milvus migrans formosanus,,,
Milvus migrans affinis,,,
Haliaeetus,,,
Haliaeetus leucoryphus,Pallas's Fish Eagle,Pigargo-de-pallas,EN
Haliaeetus pelagicus,Steller's Sea Eagle,Steller's sea-eagle,VU
Haliaeetus albicilla,White-tailed Eagle,Pigargo,LC
Haliaeetus albicilla albicilla,,,
Haliaeetus albicilla groenlandicus,,,
Haliaeetus leucocephalus,Bald Eagle,Pigargo-americano,LC
Haliaeetus leucocephalus washingtoniensis,,,
Haliaeetus leucocephalus leucocephalus,,,
Icthyophaga,,,
Icthyophaga vocifer,African Fish Eagle,Pigargo-africano,LC
Icthyophaga vociferoides,Madagascar Fish Eagle,Madagascar fish-eagle,CR
Icthyophaga leucogaster,White-bellied Sea Eagle,Pigargo-oriental,LC
Icthyophaga sanfordi,Sanford's Sea Eagle,Sanford's sea-eagle,VU
Icthyophaga humilis,Lesser Fish Eagle,Lesser fish-eagle,NT
Icthyophaga humilis plumbea,,,
Icthyophaga humilis humilis,,,
Icthyophaga ichthyaetus,Grey-headed Fish Eagle,Gray-headed fish-eagle,NT
Butastur,,,
Butastur liventer,Rufous-winged Buzzard,Rufous-winged buzzard,LC
Butastur rufipennis,Grasshopper Buzzard,Grasshopper buzzard,LC
Butastur indicus,Grey-faced Buzzard,Bútio-de-faces-cinzentas,LC
Butastur teesa,White-eyed Buzzard,White-eyed buzzard,LC
Ictinia,,,
Ictinia plumbea,Plumbeous Kite,Sovi,LC
Ictinia mississippiensis,Mississippi Kite,Sauveiro-do-norte,LC
Geranospiza,,,
Geranospiza caerulescens,Crane Hawk,Gavião-pernilongo,LC
Geranospiza caerulescens livens,,,
Geranospiza caerulescens nigra,,,
Geranospiza caerulescens balzarensis,,,
Geranospiza caerulescens caerulescens,,,
Geranospiza caerulescens gracilis,,,
Geranospiza caerulescens flexipes,,,
Busarellus,,,
Busarellus nigricollis,Black-collared Hawk,Gavião-belo,LC
Busarellus nigricollis nigricollis,,,
Busarellus nigricollis leucocephalus,,,
Helicolestes,,,
Helicolestes hamatus,Slender-billed Kite,Gavião-dos-igapós,LC
Rostrhamus,,,
Rostrhamus sociabilis,Snail Kite,Gavião-caramujeiro,LC
Rostrhamus sociabilis plumbeus,,,
Rostrhamus sociabilis levis,,,
Rostrhamus sociabilis major,,,
Rostrhamus sociabilis sociabilis,,,
Morphnarchus,,,
Morphnarchus princeps,Barred Hawk,Barred hawk,LC
Cryptoleucopteryx,,,
Cryptoleucopteryx plumbea,Plumbeous Hawk,Plumbeous hawk,NT
Buteogallus,,,
Buteogallus schistaceus,Slate-colored Hawk,Bútio-azul,LC
Buteogallus anthracinus,Common Black Hawk,Bútio-caranguejeiro-preto,LC
Buteogallus anthracinus anthracinus,,,
Buteogallus anthracinus rhizophorae,,,
Buteogallus anthracinus bangsi,,,
Buteogallus anthracinus subtilis,,,
Buteogallus gundlachii,Cuban Black Hawk,Cuban black hawk,NT
Buteogallus aequinoctialis,Rufous Crab Hawk,Bútio-caranguejeiro,NT
Buteogallus meridionalis,Savanna Hawk,Bútio-caboclo,LC
Buteogallus lacernulatus,White-necked Hawk,Bútio-pombo-pequeno,NT
Buteogallus urubitinga,Great Black Hawk,Bútio-preto,LC
Buteogallus urubitinga ridgwayi,,,
Buteogallus urubitinga urubitinga,,,
Buteogallus solitarius,Solitary Eagle,Águia-solitária,NT
Buteogallus solitarius sheffleri,,,
Buteogallus solitarius solitarius,,,
Buteogallus coronatus,Chaco Eagle,Bútio-cinzento,EN
Rupornis,,,
Rupornis magnirostris,Roadside Hawk,Bútio-carijó,LC
Rupornis magnirostris griseocauda,,,
Rupornis magnirostris conspectus,,,
Rupornis magnirostris gracilis,,,
Rupornis magnirostris sinushonduri,,,
Rupornis magnirostris petulans,,,
Rupornis magnirostris alius,,,
Rupornis magnirostris magnirostris,,,
Rupornis magnirostris occiduus,,,
Rupornis magnirostris saturatus,,,
Rupornis magnirostris nattereri,,,
Rupornis magnirostris magniplumis,,,
Rupornis magnirostris pucherani,,,
Parabuteo,,,
Parabuteo leucorrhous,White-rumped Hawk,Bútio-de-sobre-branco,LC
Parabuteo unicinctus,Harris's Hawk,Bútio-asa-de-telha,LC
Parabuteo unicinctus harrisi,,,
Parabuteo unicinctus unicinctus,,,
Pseudastur,,,
Pseudastur occidentalis,Grey-backed Hawk,Gray-backed hawk,VU
Pseudastur albicollis,White Hawk,Bútio-branco,LC
Pseudastur albicollis ghiesbreghti,,,
Pseudastur albicollis costaricensis,,,
Pseudastur albicollis williaminae,,,
Pseudastur albicollis albicollis,,,
Pseudastur polionotus,Mantled Hawk,Bútio-pombo-grande,NT
Geranoaetus,,,
Geranoaetus albicaudatus,White-tailed Hawk,Bútio-de-rabo-branco,LC
Geranoaetus albicaudatus hypospodius,,,
Geranoaetus albicaudatus colonus,,,
Geranoaetus albicaudatus albicaudatus,,,
Geranoaetus polyosoma,Variable Hawk,Bútio-de-dorso-vermelho,LC
Geranoaetus polyosoma polyosoma,,,
Geranoaetus polyosoma exsul,,,
Geranoaetus polyosoma poecilochrous,,,
Geranoaetus polyosoma fjeldsai,,,
Geranoaetus melanoleucus,Black-chested Buzzard-Eagle,Bútio-chileno,LC
Geranoaetus melanoleucus australis,,,
Geranoaetus melanoleucus melanoleucus,,,
Leucopternis,,,
Leucopternis semiplumbeus,Semiplumbeous Hawk,Semiplumbeous hawk,LC
Leucopternis melanops,Black-faced Hawk,Bútio-de-faces-pretas,LC
Leucopternis kuhli,White-browed Hawk,Bútio-vaqueiro,LC
Bermuteo,,,
Bermuteo avivorus,Bermuda Hawk,Bermuda hawk,EX
Buteo,,,
Buteo plagiatus,Grey Hawk,Gray hawk,LC
Buteo nitidus,Grey-lined Hawk,Gavião-pedrês,LC
Buteo nitidus blakei,,,
Buteo nitidus nitidus,,,
Buteo nitidus pallidus,,,
Buteo platypterus,Broad-winged Hawk,Bútio-d'asa-larga,LC
Buteo platypterus platypterus,,,
Buteo platypterus cubanensis,,,
Buteo platypterus brunnescens,,,
Buteo platypterus insulicola,,,
Buteo platypterus rivierei,,,
Buteo platypterus antillarum,,,
Buteo ridgwayi,Ridgway's Hawk,Ridgway's hawk,CR
Buteo lineatus,Red-shouldered Hawk,Red-shouldered hawk,LC
Buteo lineatus lineatus,,,
Buteo lineatus alleni,,,
Buteo lineatus extimus,,,
Buteo lineatus texanus,,,
Buteo lineatus elegans,,,
Buteo albonotatus,Zone-tailed Hawk,Bútio-de-rabo-barrado,LC
Buteo solitarius,Hawaiian Hawk,Hawaiian hawk,NT
Buteo albigula,White-throated Hawk,White-throated hawk,LC
Buteo brachyurus,Short-tailed Hawk,Bútio-de-cauda-curta,LC
Buteo brachyurus fuliginosus,,,
Buteo brachyurus brachyurus,,,
Buteo galapagoensis,Galapagos Hawk,Galapagos hawk,VU
Buteo swainsoni,Swainson's Hawk,Bútio-das-pradarias,LC
Buteo ventralis,Rufous-tailed Hawk,Rufous-tailed hawk,EN
Buteo jamaicensis,Red-tailed Hawk,Red-tailed hawk,LC
Buteo jamaicensis alascensis,,,
Buteo jamaicensis harlani,,,
Buteo jamaicensis calurus,,,
Buteo jamaicensis borealis,,,
Buteo jamaicensis suttoni,,,
Buteo jamaicensis fuertesi,,,
Buteo jamaicensis fumosus,,,
Buteo jamaicensis socorroensis,,,
Buteo jamaicensis hadropus,,,
Buteo jamaicensis kemsiesi,,,
Buteo jamaicensis costaricensis,,,
Buteo jamaicensis umbrinus,,,
Buteo jamaicensis jamaicensis,,,
Buteo regalis,Ferruginous Hawk,Ferruginous hawk,LC
Buteo lagopus,Rough-legged Buzzard,Bútio-calçado,LC
Buteo lagopus lagopus,,,
Buteo lagopus menzbieri,,,
Buteo lagopus kamtschatkensis,,,
Buteo lagopus sanctijohannis,,,
Buteo auguralis,Red-necked Buzzard,Red-necked buzzard,LC
Buteo rufofuscus,Jackal Buzzard,Jackal buzzard,LC
Buteo augur,Augur Buzzard,Augur buzzard,LC
Buteo augur archeri,,,
Buteo augur augur,,,
Buteo oreophilus,Mountain Buzzard,Mountain buzzard,NT
Buteo trizonatus,Forest Buzzard,Forest buzzard,NT
Buteo buteo,Common Buzzard,Águia-d'asa-redonda,LC
Buteo buteo rothschildi,,,
Buteo buteo insularum,,,
Buteo buteo bannermani,,,
Buteo buteo pojana,,,
Buteo buteo buteo,,,
Buteo buteo menetriesi,,,
Buteo buteo vulpinus,,,
Buteo brachypterus,Madagascar Buzzard,Madagascar buzzard,LC
Buteo socotraensis,Socotra Buzzard,Socotra buzzard,VU
Buteo hemilasius,Upland Buzzard,Upland buzzard,LC
Buteo rufinus,Long-legged Buzzard,Bútio-mourisco,LC
Buteo rufinus rufinus,,,
Buteo rufinus cirtensis,,,
Buteo refectus,Himalayan Buzzard,Himalayan buzzard,LC
Buteo japonicus,Eastern Buzzard,Eastern buzzard,LC
Buteo japonicus burmanicus,,,
Buteo japonicus japonicus,,,
Buteo japonicus toyoshimai,,,
Buteo japonicus oshiroi,,,
Coliiformes,,,
Coliidae,,,
Urocolius,,,
Urocolius indicus,Red-faced Mousebird,Red-faced mousebird,LC
Urocolius indicus mossambicus,,,
Urocolius indicus lacteifrons,,,
Urocolius indicus pallidus,,,
Urocolius indicus transvaalensis,,,
Urocolius indicus indicus,,,
Urocolius macrourus,Blue-naped Mousebird,Rabo-de-junco,LC
Urocolius macrourus macrourus,,,
Urocolius macrourus laeneni,,,
Urocolius macrourus abyssinicus,,,
Urocolius macrourus pulcher,,,
Urocolius macrourus griseogularis,,,
Urocolius macrourus massaicus,,,
Colius,,,
Colius striatus,Speckled Mousebird,Speckled mousebird,LC
Colius striatus nigricollis,,,
Colius striatus leucophthalmus,,,
Colius striatus leucotis,,,
Colius striatus hilgerti,,,
Colius striatus jebelensis,,,
Colius striatus mombassicus,,,
Colius striatus kikuyensis,,,
Colius striatus cinerascens,,,
Colius striatus affinis,,,
Colius striatus berlepschi,,,
Colius striatus kiwuensis,,,
Colius striatus congicus,,,
Colius striatus simulans,,,
Colius striatus integralis,,,
Colius striatus rhodesiae,,,
Colius striatus minor,,,
Colius striatus striatus,,,
Colius leucocephalus,White-headed Mousebird,White-headed mousebird,LC
Colius leucocephalus turneri,,,
Colius leucocephalus leucocephalus,,,
Colius castanotus,Red-backed Mousebird,Red-backed mousebird,LC
Colius colius,White-backed Mousebird,White-backed mousebird,LC
Colius colius damarensis,,,
Colius colius colius,,,
Leptosomiformes,,,
Leptosomidae,,,
Leptosomus,,,
Leptosomus discolor,Cuckoo-roller,Cuckoo-roller,LC
Leptosomus discolor gracilis,,,
Leptosomus discolor intermedius,,,
Leptosomus discolor discolor,,,
Trogoniformes,,,
Trogonidae,,,
Apaloderma,,,
Apaloderma narina,Narina Trogon,Narina trogon,LC
Apaloderma narina constantia,,,
Apaloderma narina brachyurum,,,
Apaloderma narina narina,,,
Apaloderma narina littorale,,,
Apaloderma aequatoriale,Bare-cheeked Trogon,Bare-cheeked trogon,LC
Apaloderma vittatum,Bar-tailed Trogon,Bar-tailed trogon,LC
Apalharpactes,,,
Apalharpactes reinwardtii,Javan Trogon,Javan trogon,VU
Apalharpactes mackloti,Sumatran Trogon,Sumatran trogon,LC
Harpactes,,,
Harpactes oreskios,Orange-breasted Trogon,Orange-breasted trogon,LC
Harpactes oreskios stellae,,,
Harpactes oreskios uniformis,,,
Harpactes oreskios oreskios,,,
Harpactes oreskios dulitensis,,,
Harpactes oreskios nias,,,
Harpactes fasciatus,Malabar Trogon,Malabar trogon,LC
Harpactes fasciatus malabaricus,,,
Harpactes fasciatus legerli,,,
Harpactes fasciatus fasciatus,,,
Harpactes kasumba,Red-naped Trogon,Red-naped trogon,NT
Harpactes kasumba kasumba,,,
Harpactes kasumba impavidus,,,
Harpactes diardii,Diard's Trogon,Diard's trogon,NT
Harpactes diardii sumatranus,,,
Harpactes diardii diardii,,,
Harpactes ardens,Philippine Trogon,Philippine trogon,LC
Harpactes ardens herberti,,,
Harpactes ardens luzoniensis,,,
Harpactes ardens minor,,,
Harpactes ardens linae,,,
Harpactes ardens ardens,,,
Harpactes whiteheadi,Whitehead's Trogon,Whitehead's trogon,LC
Harpactes orrhophaeus,Cinnamon-rumped Trogon,Cinnamon-rumped trogon,VU
Harpactes orrhophaeus orrhophaeus,,,
Harpactes orrhophaeus vidua,,,
Harpactes duvaucelii,Scarlet-rumped Trogon,Scarlet-rumped trogon,NT
Harpactes erythrocephalus,Red-headed Trogon,Red-headed trogon,LC
Harpactes erythrocephalus erythrocephalus,,,
Harpactes erythrocephalus helenae,,,
Harpactes erythrocephalus yamakanensis,,,
Harpactes erythrocephalus intermedius,,,
Harpactes erythrocephalus annamensis,,,
Harpactes erythrocephalus klossi,,,
Harpactes erythrocephalus chaseni,,,
Harpactes erythrocephalus hainanus,,,
Harpactes erythrocephalus flagrans,,,
Harpactes wardi,Ward's Trogon,Ward's trogon,LC
Euptilotis,,,
Euptilotis neoxenus,Eared Quetzal,Eared quetzal,LC
Pharomachrus,,,
Pharomachrus pavoninus,Pavonine Quetzal,Surucuá-pavão,LC
Pharomachrus auriceps,Golden-headed Quetzal,Golden-headed quetzal,LC
Pharomachrus auriceps auriceps,,,
Pharomachrus auriceps hargitti,,,
Pharomachrus mocinno,Resplendent Quetzal,Resplendent quetzal,NT
Pharomachrus mocinno mocinno,,,
Pharomachrus mocinno costaricensis,,,
Pharomachrus fulgidus,White-tipped Quetzal,White-tipped quetzal,LC
Pharomachrus fulgidus festatus,,,
Pharomachrus fulgidus fulgidus,,,
Pharomachrus antisianus,Crested Quetzal,Crested quetzal,LC
Priotelus,,,
Priotelus roseigaster,Hispaniolan Trogon,Hispaniolan trogon,LC
Priotelus temnurus,Cuban Trogon,Cuban trogon,LC
Priotelus temnurus temnurus,,,
Priotelus temnurus vescus,,,
Trogon,,,
Trogon clathratus,Lattice-tailed Trogon,Lattice-tailed trogon,LC
Trogon massena,Slaty-tailed Trogon,Slaty-tailed trogon,LC
Trogon massena massena,,,
Trogon massena hoffmanni,,,
Trogon massena australis,,,
Trogon comptus,Choco Trogon,Blue-tailed trogon,LC
Trogon mesurus,Ecuadorian Trogon,Ecuadorian trogon,LC
Trogon melanurus,Black-tailed Trogon,Surucuá-de-cauda-preta,LC
Trogon melanurus macroura,,,
Trogon melanurus eumorphus,,,
Trogon melanurus melanurus,,,
Trogon melanocephalus,Black-headed Trogon,Black-headed trogon,LC
Trogon citreolus,Citreoline Trogon,Citreoline trogon,LC
Trogon citreolus citreolus,,,
Trogon citreolus sumichrasti,,,
Trogon chionurus,White-tailed Trogon,Surucuá-de-cauda-branca,LC
Trogon viridis,Green-backed Trogon,Surucuá-de-barriga-amarela,LC
Trogon bairdii,Baird's Trogon,Baird's trogon,NT
Trogon caligatus,Gartered Trogon,Gartered violaceous trogon,NE
Trogon caligatus sallaei,,,
Trogon caligatus concinnus,,,
Trogon caligatus caligatus,,,
Trogon violaceus,Guianan Trogon,Surucuá-violeta,NE
Trogon ramonianus,Amazonian Trogon,Surucuá-pequeno,NE
Trogon ramonianus ramonianus,,,
Trogon ramonianus crissalis,,,
Trogon curucui,Blue-crowned Trogon,Surucuá-de-barriga-vermelha,LC
Trogon curucui peruvianus,,,
Trogon curucui curucui,,,
Trogon curucui behni,,,
Trogon surrucura,Surucua Trogon,Surucuá-variado,NE
Trogon surrucura aurantius,,,
Trogon surrucura surrucura,,,
Trogon tenellus,Graceful Black-throated Trogon,Graceful black-throated trogon,NE
Trogon cupreicauda,Choco Black-throated Trogon,Choco black-throated trogon,NE
Trogon rufus,Amazonian Black-throated Trogon,Surucuá-dourado-da-amazônia,NE
Trogon rufus rufus,,,
Trogon rufus sulphureus,,,
Trogon rufus amazonicus,,,
Trogon chrysochloros,Atlantic Black-throated Trogon,surucuá-dourado/de-murici,NE
Trogon chrysochloros muriciensis,,,
Trogon chrysochloros chrysochloros,,,
Trogon elegans,Elegant Trogon,Elegant trogon,LC
Trogon elegans elegans,,,
Trogon elegans lubricus,,,
Trogon ambiguus,Coppery-tailed Trogon,Coppery-tailed trogon,LC
Trogon ambiguus canescens,,,
Trogon ambiguus ambiguus,,,
Trogon ambiguus goldmani,,,
Trogon mexicanus,Mountain Trogon,Mountain trogon,LC
Trogon mexicanus clarus,,,
Trogon mexicanus mexicanus,,,
Trogon collaris,Collared Trogon,Surucuá-de-coleira,LC
Trogon collaris puella,,,
Trogon collaris underwoodi,,,
Trogon collaris aurantiiventris,,,
Trogon collaris extimus,,,
Trogon collaris heothinus,,,
Trogon collaris virginalis,,,
Trogon collaris subtropicalis,,,
Trogon collaris exoptatus,,,
Trogon collaris collaris,,,
Trogon collaris castaneus,,,
Trogon personatus,Masked Trogon,Surucuá-de-mascarilha,LC
Trogon personatus sanctaemartae,,,
Trogon personatus ptaritepui,,,
Trogon personatus duidae,,,
Trogon personatus roraimae,,,
Trogon personatus personatus,,,
Trogon personatus assimilis,,,
Trogon personatus temperatus,,,
Trogon personatus heliothrix,,,
Trogon personatus submontanus,,,
Bucerotiformes,,,
Upupidae,,,
Upupa,,,
Upupa epops,Common Hoopoe,Poupa,LC
Upupa epops epops,,,
Upupa epops saturata,,,
Upupa epops ceylonensis,,,
Upupa epops longirostris,,,
Upupa epops major,,,
Upupa epops senegalensis,,,
Upupa epops waibeli,,,
Upupa epops africana,,,
Upupa marginata,Madagascar Hoopoe,Madagascar hoopoe,LC
Upupa antaios,St. Helena Hoopoe,St. helena hoopoe,EX
Phoeniculidae,,,
Rhinopomastus,,,
Rhinopomastus castaneiceps,Forest Wood Hoopoe,Forest scimitarbill,LC
Rhinopomastus castaneiceps castaneiceps,,,
Rhinopomastus castaneiceps brunneiceps,,,
Rhinopomastus aterrimus,Black Scimitarbill,Zombeteiro-preto,LC
Rhinopomastus aterrimus aterrimus,,,
Rhinopomastus aterrimus emini,,,
Rhinopomastus aterrimus notatus,,,
Rhinopomastus aterrimus anchietae,,,
Rhinopomastus cyanomelas,Common Scimitarbill,Common scimitarbill,LC
Rhinopomastus cyanomelas schalowi,,,
Rhinopomastus cyanomelas cyanomelas,,,
Rhinopomastus minor,Abyssinian Scimitarbill,Abyssinian scimitarbill,LC
Rhinopomastus minor minor,,,
Rhinopomastus minor cabanisi,,,
Phoeniculus,,,
