Scientific_name,English_name_AviList,Portuguese (Brazil),IUCN_Red_List_Category
Piculus aurulentus,Yellow-browed Woodpecker,pica-pau-dourado,LC
Colaptes,,,
Colaptes rubiginosus,Golden-olive Woodpecker,pica-pau-oliváceo,NE
Colaptes rubiginosus yucatanensis,,,
Colaptes rubiginosus alleni,,,
Colaptes rubiginosus buenavistae,,,
Colaptes rubiginosus meridensis,,,
Colaptes rubiginosus rubiginosus,,,
Colaptes rubiginosus deltanus,,,
Colaptes rubiginosus paraquensis,,,
Colaptes rubiginosus guianae,,,
Colaptes rubiginosus viridissimus,,,
Colaptes rubiginosus nigriceps,,,
Colaptes rubiginosus trinitatis,,,
Colaptes rubiginosus tobagensis,,,
Colaptes rubiginosus gularis,,,
Colaptes rubiginosus rubripileus,,,
Colaptes rubiginosus coloratus,,,
Colaptes rubiginosus chrysogaster,,,
Colaptes rubiginosus canipileus,,,
Colaptes rubiginosus tucumanus,,,
Colaptes rubiginosus aeruginosus,,,
Colaptes auricularis,Grey-crowned Woodpecker,gray-crowned woodpecker,LC
Colaptes rivolii,Crimson-mantled Woodpecker,crimson-mantled woodpecker,NE
Colaptes rivolii quindiuna,,,
Colaptes rivolii zuliensis,,,
Colaptes rivolii rivolii,,,
Colaptes rivolii meridae,,,
Colaptes rivolii brevirostris,,,
Colaptes rivolii atriceps,,,
Colaptes atricollis,Black-necked Woodpecker,black-necked woodpecker,LC
Colaptes atricollis atricollis,,,
Colaptes atricollis peruvianus,,,
Colaptes punctigula,Spot-breasted Woodpecker,pica-pau-de-peito-pontilhado,LC
Colaptes punctigula ujhelyii,,,
Colaptes punctigula striatigularis,,,
Colaptes punctigula punctipectus,,,
Colaptes punctigula zuliae,,,
Colaptes punctigula punctigula,,,
Colaptes punctigula guttatus,,,
Colaptes melanochloros,Green-barred Woodpecker,pica-pau-verde-barrado,NE
Colaptes melanochloros melanochloros,,,
Colaptes melanochloros nattereri,,,
Colaptes melanochloros melanolaimus,,,
Colaptes melanochloros nigroviridis,,,
Colaptes melanochloros leucofrenatus,,,
Colaptes auratus,Northern Flicker,pica-pau-mosqueado,NE
Colaptes auratus cafer,,,
Colaptes auratus collaris,,,
Colaptes auratus rufipileus,,,
Colaptes auratus nanus,,,
Colaptes auratus mexicanus,,,
Colaptes auratus luteus,,,
Colaptes auratus auratus,,,
Colaptes auratus chrysocaulosus,,,
Colaptes auratus gundlachi,,,
Colaptes mexicanoides,Guatemalan Flicker,guatemalan flicker,LC
Colaptes chrysoides,Gilded Flicker,gilded flicker,LC
Colaptes chrysoides mearnsi,,,
Colaptes chrysoides tenebrosus,,,
Colaptes chrysoides brunnescens,,,
Colaptes chrysoides chrysoides,,,
Colaptes oceanicus,Bermuda Flicker,bermuda flicker,EX
Colaptes fernandinae,Fernandina's Flicker,fernandina's flicker,EN
Colaptes pitius,Chilean Flicker,chilean flicker,LC
Colaptes rupicola,Andean Flicker,andean flicker,NE
Colaptes rupicola cinereicapillus,,,
Colaptes rupicola puna,,,
Colaptes rupicola rupicola,,,
Colaptes campestris,Campo Flicker,pica-pau-do-campo,NE
Colaptes campestris campestris,,,
Colaptes campestris campestroides,,,
Campephilus,,,
Campephilus pollens,Powerful Woodpecker,powerful woodpecker,LC
Campephilus pollens pollens,,,
Campephilus pollens peruvianus,,,
Campephilus haematogaster,Crimson-bellied Woodpecker,,LC
Campephilus splendens,Splendid Woodpecker,,LC
Campephilus rubricollis,Red-necked Woodpecker,pica-pau-de-barriga-vermelha,LC
Campephilus rubricollis rubricollis,,,
Campephilus rubricollis trachelopyrus,,,
Campephilus rubricollis olallae,,,
Campephilus robustus,Robust Woodpecker,pica-pau-rei,LC
Campephilus melanoleucos,Crimson-crested Woodpecker,pica-pau-de-topete-vermelho,LC
Campephilus melanoleucos malherbii,,,
Campephilus melanoleucos melanoleucos,,,
Campephilus melanoleucos cearae,,,
Campephilus guatemalensis,Pale-billed Woodpecker,pale-billed woodpecker,LC
Campephilus guatemalensis regius,,,
Campephilus guatemalensis nelsoni,,,
Campephilus guatemalensis guatemalensis,,,
Campephilus gayaquilensis,Guayaquil Woodpecker,guayaquil woodpecker,LC
Campephilus leucopogon,Cream-backed Woodpecker,pica-pau-de-barriga-preta,LC
Campephilus magellanicus,Magellanic Woodpecker,magellanic woodpecker,LC
Campephilus principalis,Ivory-billed Woodpecker,ivory-billed woodpecker,CR
Campephilus principalis principalis,,,
Campephilus principalis bairdii,,,
Campephilus imperialis,Imperial Woodpecker,imperial woodpecker,CR (PE)
Blythipicus,,,
Blythipicus rubiginosus,Maroon Woodpecker,maroon woodpecker,LC
Blythipicus pyrrhotis,Bay Woodpecker,bay woodpecker,LC
Blythipicus pyrrhotis pyrrhotis,,,
Blythipicus pyrrhotis sinensis,,,
Blythipicus pyrrhotis annamensis,,,
Blythipicus pyrrhotis hainanus,,,
Blythipicus pyrrhotis cameroni,,,
Chrysocolaptes,,,
Chrysocolaptes validus,Orange-backed Woodpecker,orange-backed woodpecker,LC
Chrysocolaptes validus xanthopygius,,,
Chrysocolaptes validus validus,,,
Chrysocolaptes guttacristatus,Greater Flameback,greater flameback,NE
Chrysocolaptes guttacristatus sultaneus,,,
Chrysocolaptes guttacristatus guttacristatus,,,
Chrysocolaptes guttacristatus indomalayicus,,,
Chrysocolaptes guttacristatus andrewsi,,,
Chrysocolaptes socialis,Malabar Flameback,malabar flameback,NE
Chrysocolaptes strictus,Javan Flameback,javan flameback,NT
Chrysocolaptes strictus strictus,,,
Chrysocolaptes strictus kangeanensis,,,
Chrysocolaptes haematribon,Luzon Flameback,luzon flameback,LC
Chrysocolaptes xanthocephalus,Yellow-faced Flameback,yellow-faced flameback,EN
Chrysocolaptes lucidus,Buff-spotted Flameback,buff-spotted flameback,LC
Chrysocolaptes lucidus rufopunctatus,,,
Chrysocolaptes lucidus montanus,,,
Chrysocolaptes lucidus lucidus,,,
Chrysocolaptes erythrocephalus,Red-headed Flameback,red-headed flameback,NT
Chrysocolaptes stricklandi,Crimson-backed Flameback,crimson-backed flameback,LC
Chrysocolaptes festivus,White-naped Woodpecker,white-naped woodpecker,LC
Chrysocolaptes festivus festivus,,,
Chrysocolaptes festivus tantus,,,
Sphyrapicus,,,
Sphyrapicus thyroideus,Williamson's Sapsucker,williamson's sapsucker,LC
Sphyrapicus thyroideus thyroideus,,,
Sphyrapicus thyroideus nataliae,,,
Sphyrapicus varius,Yellow-bellied Sapsucker,pica-pau-de-barriga-amarela,LC
Sphyrapicus nuchalis,Red-naped Sapsucker,red-naped sapsucker,LC
Sphyrapicus ruber,Red-breasted Sapsucker,red-breasted sapsucker,LC
Sphyrapicus ruber ruber,,,
Sphyrapicus ruber daggetti,,,
Xiphidiopicus,,,
Xiphidiopicus percussus,Cuban Green Woodpecker,cuban green woodpecker,LC
Xiphidiopicus percussus percussus,,,
Xiphidiopicus percussus insulaepinorum,,,
Melanerpes,,,
Melanerpes candidus,White Woodpecker,pica-pau-branco,LC
Melanerpes lewis,Lewis's Woodpecker,lewis's woodpecker,LC
Melanerpes herminieri,Guadeloupe Woodpecker,guadeloupe woodpecker,LC
Melanerpes portoricensis,Puerto Rican Woodpecker,puerto rican woodpecker,LC
Melanerpes erythrocephalus,Red-headed Woodpecker,red-headed woodpecker,LC
Melanerpes formicivorus,Acorn Woodpecker,acorn woodpecker,LC
Melanerpes formicivorus bairdi,,,
Melanerpes formicivorus angustifrons,,,
Melanerpes formicivorus formicivorus,,,
Melanerpes formicivorus albeolus,,,
Melanerpes formicivorus lineatus,,,
Melanerpes formicivorus striatipectus,,,
Melanerpes formicivorus flavigula,,,
Melanerpes chrysauchen,Golden-naped Woodpecker,golden-naped woodpecker,LC
Melanerpes cruentatus,Yellow-tufted Woodpecker,benedito-de-testa-vermelha,LC
Melanerpes flavifrons,Yellow-fronted Woodpecker,benedito-de-testa-amarela,LC
Melanerpes pulcher,Beautiful Woodpecker,beautiful woodpecker,LC
Melanerpes pucherani,Black-cheeked Woodpecker,black-cheeked woodpecker,LC
Melanerpes cactorum,White-fronted Woodpecker,pica-pau-de-testa-branca,LC
Melanerpes striatus,Hispaniolan Woodpecker,hispaniolan woodpecker,LC
Melanerpes radiolatus,Jamaican Woodpecker,jamaican woodpecker,LC
Melanerpes chrysogenys,Golden-cheeked Woodpecker,golden-cheeked woodpecker,LC
Melanerpes chrysogenys chrysogenys,,,
Melanerpes chrysogenys flavinuchus,,,
Melanerpes hypopolius,Grey-breasted Woodpecker,gray-breasted woodpecker,LC
Melanerpes pygmaeus,Yucatan Woodpecker,yucatan woodpecker,LC
Melanerpes pygmaeus tysoni,,,
Melanerpes pygmaeus rubricomus,,,
Melanerpes pygmaeus pygmaeus,,,
Melanerpes rubricapillus,Red-crowned Woodpecker,red-crowned woodpecker,LC
Melanerpes rubricapillus rubricapillus,,,
Melanerpes rubricapillus subfusculus,,,
Melanerpes rubricapillus seductus,,,
Melanerpes rubricapillus paraguanae,,,
Melanerpes uropygialis,Gila Woodpecker,gila woodpecker,LC
Melanerpes uropygialis uropygialis,,,
Melanerpes uropygialis cardonensis,,,
Melanerpes uropygialis brewsteri,,,
Melanerpes hoffmannii,Hoffmann's Woodpecker,hoffmann's woodpecker,LC
Melanerpes aurifrons,Golden-fronted Woodpecker,golden-fronted woodpecker,LC
Melanerpes aurifrons aurifrons,,,
Melanerpes aurifrons polygrammus,,,
Melanerpes aurifrons grateloupensis,,,
Melanerpes aurifrons veraecrucis,,,
Melanerpes aurifrons dubius,,,
Melanerpes aurifrons leei,,,
Melanerpes aurifrons santacruzi,,,
Melanerpes aurifrons hughlandi,,,
Melanerpes aurifrons pauper,,,
Melanerpes aurifrons turneffensis,,,
Melanerpes aurifrons insulanus,,,
Melanerpes aurifrons canescens,,,
Melanerpes carolinus,Red-bellied Woodpecker,red-bellied woodpecker,LC
Melanerpes superciliaris,West Indian Woodpecker,west indian woodpecker,LC
Melanerpes superciliaris nyeanus,,,
Melanerpes superciliaris blakei,,,
Melanerpes superciliaris superciliaris,,,
Melanerpes superciliaris murceus,,,
Melanerpes superciliaris caymanensis,,,
Picoides,,,
Picoides arcticus,Black-backed Woodpecker,black-backed woodpecker,LC
Picoides dorsalis,American Three-toed Woodpecker,american three-toed woodpecker,NE
Picoides dorsalis fasciatus,,,
Picoides dorsalis dorsalis,,,
Picoides dorsalis bacatus,,,
Picoides tridactylus,Eurasian Three-toed Woodpecker,pica-pau-tridáctilo,NE
Picoides tridactylus tridactylus,,,
Picoides tridactylus alpinus,,,
Picoides tridactylus crissoleucus,,,
Picoides tridactylus albidior,,,
Picoides tridactylus tianschanicus,,,
Picoides tridactylus kurodai,,,
Picoides tridactylus inouyei,,,
Picoides tridactylus funebris,,,
Yungipicus,,,
Yungipicus temminckii,Sulawesi Pygmy Woodpecker,sulawesi pygmy woodpecker,LC
Yungipicus maculatus,Philippine Pygmy Woodpecker,philippine pygmy woodpecker,LC
Yungipicus maculatus validirostris,,,
Yungipicus maculatus fulvifasciatus,,,
Yungipicus maculatus maculatus,,,
Yungipicus ramsayi,Sulu Pygmy Woodpecker,sulu pygmy woodpecker,VU
Yungipicus nanus,Brown-capped Pygmy Woodpecker,brown-capped pygmy woodpecker,LC
Yungipicus nanus nanus,,,
Yungipicus nanus hardwickii,,,
Yungipicus nanus cinereigula,,,
Yungipicus nanus gymnopthalmos,,,
Yungipicus moluccensis,Sunda Pygmy Woodpecker,sunda pygmy woodpecker,LC
Yungipicus moluccensis moluccensis,,,
Yungipicus moluccensis grandis,,,
Yungipicus canicapillus,Grey-capped Pygmy Woodpecker,gray-capped pygmy woodpecker,LC
Yungipicus canicapillus doerriesi,,,
Yungipicus canicapillus scintilliceps,,,
Yungipicus canicapillus kaleensis,,,
Yungipicus canicapillus swinhoei,,,
Yungipicus canicapillus mitchellii,,,
Yungipicus canicapillus semicoronatus,,,
Yungipicus canicapillus canicapillus,,,
Yungipicus canicapillus delacouri,,,
Yungipicus canicapillus auritus,,,
Yungipicus canicapillus volzi,,,
Yungipicus canicapillus aurantiiventris,,,
Yungipicus kizuki,Japanese Pygmy Woodpecker,japanese pygmy woodpecker,LC
Yungipicus kizuki permutatus,,,
Yungipicus kizuki seebohmi,,,
Yungipicus kizuki nippon,,,
Yungipicus kizuki shikokuensis,,,
Yungipicus kizuki kizuki,,,
Yungipicus kizuki matsudairai,,,
Yungipicus kizuki kotataki,,,
Yungipicus kizuki amamii,,,
Yungipicus kizuki nigrescens,,,
Yungipicus kizuki orii,,,
Leiopicus,,,
Leiopicus mahrattensis,Yellow-crowned Woodpecker,yellow-crowned woodpecker,LC
Leiopicus mahrattensis pallescens,,,
Leiopicus mahrattensis mahrattensis,,,
Dendrocoptes,,,
Dendrocoptes medius,Middle Spotted Woodpecker,pica-pau-médio,LC
Dendrocoptes medius medius,,,
Dendrocoptes medius caucasicus,,,
Dendrocoptes medius anatoliae,,,
Dendrocoptes medius sanctijohannis,,,
Dendrocoptes auriceps,Brown-fronted Woodpecker,brown-fronted woodpecker,LC
Dendrocoptes dorae,Arabian Woodpecker,arabian woodpecker,NT
Chloropicus,,,
Chloropicus pyrrhogaster,Fire-bellied Woodpecker,fire-bellied woodpecker,LC
Chloropicus xantholophus,Yellow-crested Woodpecker,golden-crowned woodpecker,LC
Chloropicus namaquus,Bearded Woodpecker,bearded woodpecker,LC
Chloropicus namaquus schoensis,,,
Chloropicus namaquus namaquus,,,
Chloropicus namaquus coalescens,,,
Dendropicos,,,
Dendropicos stierlingi,Stierling's Woodpecker,stierling's woodpecker,LC
Dendropicos obsoletus,Brown-backed Woodpecker,pica-pau-de-costas-pardas,LC
Dendropicos obsoletus obsoletus,,,
Dendropicos obsoletus heuglini,,,
Dendropicos obsoletus ingens,,,
Dendropicos obsoletus crateri,,,
Dendropicos goertae,African Grey Woodpecker,pica-pau-cinzento,LC
Dendropicos goertae koenigi,,,
Dendropicos goertae abessinicus,,,
Dendropicos goertae goertae,,,
Dendropicos goertae centralis,,,
Dendropicos goertae meridionalis,,,
Dendropicos spodocephalus,Eastern Grey Woodpecker,mountain gray woodpecker,LC
Dendropicos spodocephalus spodocephalus,,,
Dendropicos spodocephalus rhodeogaster,,,
Dendropicos griseocephalus,Olive Woodpecker,olive woodpecker,LC
Dendropicos griseocephalus ruwenzori,,,
Dendropicos griseocephalus kilimensis,,,
Dendropicos griseocephalus griseocephalus,,,
Dendropicos abyssinicus,Abyssinian Woodpecker,abyssinian woodpecker,LC
Dendropicos lugubris,Melancholy Woodpecker,melancholy woodpecker,LC
Dendropicos gabonensis,Gabon Woodpecker,gabon woodpecker,LC
Dendropicos gabonensis reichenowi,,,
Dendropicos gabonensis gabonensis,,,
Dendropicos elliotii,Elliot's Woodpecker,elliot's woodpecker,NE
Dendropicos elliotii johnstoni,,,
Dendropicos elliotii elliotii,,,
Dendropicos elachus,Little Grey Woodpecker,little gray woodpecker,LC
Dendropicos poecilolaemus,Speckle-breasted Woodpecker,speckle-breasted woodpecker,LC
Dendropicos fuscescens,Cardinal Woodpecker,pica-pau-cardeal,LC
Dendropicos fuscescens lafresnayi,,,
Dendropicos fuscescens sharpii,,,
Dendropicos fuscescens lepidus,,,
Dendropicos fuscescens hemprichii,,,
Dendropicos fuscescens massaicus,,,
Dendropicos fuscescens loandae,,,
Dendropicos fuscescens hartlaubii,,,
Dendropicos fuscescens intermedius,,,
Dendropicos fuscescens fuscescens,,,
Dendrocopos,,,
Dendrocopos hyperythrus,Rufous-bellied Woodpecker,rufous-bellied woodpecker,LC
Dendrocopos hyperythrus marshalli,,,
Dendrocopos hyperythrus hyperythrus,,,
Dendrocopos hyperythrus subrufinus,,,
Dendrocopos hyperythrus annamensis,,,
Dendrocopos atratus,Stripe-breasted Woodpecker,stripe-breasted woodpecker,LC
Dendrocopos atratus atratus,,,
Dendrocopos atratus vietnamensis,,,
Dendrocopos macei,Fulvous-breasted Woodpecker,fulvous-breasted woodpecker,LC
Dendrocopos macei westermani,,,
Dendrocopos macei macei,,,
Dendrocopos analis,Freckle-breasted Woodpecker,freckle-breasted woodpecker,LC
Dendrocopos analis longipennis,,,
Dendrocopos analis andamanensis,,,
Dendrocopos analis analis,,,
Dendrocopos noguchii,Okinawa Woodpecker,okinawa woodpecker,EN
Dendrocopos leucotos,White-backed Woodpecker,pica-pau-de-dorso-branco,NE
Dendrocopos leucotos tangi,,,
Dendrocopos leucotos fohkiensis,,,
Dendrocopos leucotos insularis,,,
Dendrocopos leucotos lilfordi,,,
Dendrocopos leucotos subcirris,,,
Dendrocopos leucotos stejnegeri,,,
Dendrocopos leucotos namiyei,,,
Dendrocopos leucotos takahashii,,,
Dendrocopos leucotos quelpartensis,,,
Dendrocopos leucotos owstoni,,,
Dendrocopos leucotos leucotos,,,
Dendrocopos leucotos uralensis,,,
Dendrocopos darjellensis,Darjeeling Woodpecker,darjeeling woodpecker,LC
Dendrocopos darjellensis darjellensis,,,
Dendrocopos darjellensis desmursi,,,
Dendrocopos leucopterus,White-winged Woodpecker,white-winged woodpecker,LC
Dendrocopos major,Great Spotted Woodpecker,pica-pau-malhado,LC
Dendrocopos major major,,,
Dendrocopos major brevirostris,,,
Dendrocopos major kamtschaticus,,,
Dendrocopos major anglicus,,,
Dendrocopos major pinetorum,,,
Dendrocopos major parroti,,,
Dendrocopos major harterti,,,
Dendrocopos major italiae,,,
Dendrocopos major hispanus,,,
Dendrocopos major canariensis,,,
Dendrocopos major thanneri,,,
Dendrocopos major mauritanus,,,
Dendrocopos major numidus,,,
Dendrocopos major candidus,,,
Dendrocopos major paphlagoniae,,,
Dendrocopos major tenuirostris,,,
Dendrocopos major poelzami,,,
Dendrocopos major japonicus,,,
Dendrocopos major wulashanicus,,,
Dendrocopos major cabanisi,,,
Dendrocopos major beicki,,,
Dendrocopos major mandarinus,,,
Dendrocopos major stresemanni,,,
Dendrocopos major hainanus,,,
Dendrocopos himalayensis,Himalayan Woodpecker,himalayan woodpecker,LC
Dendrocopos himalayensis albescens,,,
Dendrocopos himalayensis himalayensis,,,
Dendrocopos assimilis,Sind Woodpecker,sind woodpecker,LC
Dendrocopos syriacus,Syrian Woodpecker,pica-pau-dos-balcãs,LC
Dendrocopos syriacus syriacus,,,
Dendrocopos syriacus transcaucasicus,,,
Dendrocopos syriacus milleri,,,
Dryobates,,,
Dryobates minor,Lesser Spotted Woodpecker,pica-pau-galego,LC
Dryobates minor comminutus,,,
Dryobates minor minor,,,
Dryobates minor kamtschatkensis,,,
Dryobates minor immaculatus,,,
Dryobates minor amurensis,,,
Dryobates minor hortorum,,,
Dryobates minor buturlini,,,
Dryobates minor danfordi,,,
Dryobates minor colchicus,,,
Dryobates minor quadrifasciatus,,,
Dryobates minor hyrcanus,,,
Dryobates minor morgani,,,
Dryobates minor ledouci,,,
Dryobates cathpharius,Crimson-naped Woodpecker,crimson-naped woodpecker,LC
Dryobates cathpharius cathpharius,,,
Dryobates cathpharius ludlowi,,,
Dryobates cathpharius pyrrhothorax,,,
Dryobates pernyii,Necklaced Woodpecker,necklaced woodpecker,LC
Dryobates pernyii tenebrosus,,,
Dryobates pernyii pernyii,,,
Dryobates pernyii innixus,,,
Dryobates pubescens,Downy Woodpecker,downy woodpecker,LC
Dryobates pubescens glacialis,,,
Dryobates pubescens medianus,,,
Dryobates pubescens fumidus,,,
Dryobates pubescens gairdnerii,,,
Dryobates pubescens turati,,,
Dryobates pubescens leucurus,,,
Dryobates pubescens pubescens,,,
Dryobates nuttallii,Nuttall's Woodpecker,nuttall's woodpecker,LC
Dryobates scalaris,Ladder-backed Woodpecker,ladder-backed woodpecker,LC
Dryobates scalaris cactophilus,,,
Dryobates scalaris eremicus,,,
Dryobates scalaris lucasanus,,,
Dryobates scalaris soulei,,,
Dryobates scalaris graysoni,,,
Dryobates scalaris sinaloensis,,,
Dryobates scalaris scalaris,,,
Dryobates scalaris parvus,,,
Dryobates scalaris leucoptilurus,,,
Leuconotopicus,,,
Leuconotopicus borealis,Red-cockaded Woodpecker,red-cockaded woodpecker,NT
Leuconotopicus villosus,Hairy Woodpecker,hairy woodpecker,LC
Leuconotopicus villosus septentrionalis,,,
Leuconotopicus villosus picoideus,,,
Leuconotopicus villosus harrisi,,,
Leuconotopicus villosus terraenovae,,,
Leuconotopicus villosus villosus,,,
Leuconotopicus villosus orius,,,
Leuconotopicus villosus monticola,,,
Leuconotopicus villosus leucothorectis,,,
Leuconotopicus villosus audubonii,,,
Leuconotopicus villosus hyloscopus,,,
Leuconotopicus villosus icastus,,,
Leuconotopicus villosus intermedius,,,
Leuconotopicus villosus jardinii,,,
Leuconotopicus villosus sanctorum,,,
Leuconotopicus villosus extimus,,,
Leuconotopicus villosus piger,,,
Leuconotopicus villosus maynardi,,,
Leuconotopicus albolarvatus,White-headed Woodpecker,white-headed woodpecker,LC
Leuconotopicus albolarvatus albolarvatus,,,
Leuconotopicus albolarvatus gravirostris,,,
Leuconotopicus fumigatus,Smoky-brown Woodpecker,smoky-brown woodpecker,LC
Leuconotopicus fumigatus oleagineus,,,
Leuconotopicus fumigatus sanguinolentus,,,
Leuconotopicus fumigatus reichenbachi,,,
Leuconotopicus fumigatus fumigatus,,,
Leuconotopicus fumigatus obscuratus,,,
Leuconotopicus stricklandi,Strickland's Woodpecker,strickland's woodpecker,LC
Leuconotopicus arizonae,Arizona Woodpecker,arizona woodpecker,LC
Leuconotopicus arizonae arizonae,,,
Leuconotopicus arizonae fraterculus,,,
Veniliornis,,,
Veniliornis kirkii,Red-rumped Woodpecker,pica-pau-de-sobre-vermelho,LC
Veniliornis kirkii neglectus,,,
Veniliornis kirkii cecilii,,,
Veniliornis kirkii continentalis,,,
Veniliornis kirkii monticola,,,
Veniliornis kirkii kirkii,,,
Veniliornis cassini,Golden-collared Woodpecker,pica-pau-de-colar-dourado,LC
Veniliornis spilogaster,White-spotted Woodpecker,pica-pau-verde-carijó,LC
Veniliornis mixtus,Checkered Woodpecker,pica-pau-chorão,LC
Veniliornis mixtus cancellatus,,,
Veniliornis mixtus mixtus,,,
Veniliornis mixtus malleator,,,
Veniliornis mixtus berlepschi,,,
Veniliornis lignarius,Striped Woodpecker,striped woodpecker,LC
Veniliornis sanguineus,Blood-colored Woodpecker,blood-colored woodpecker,LC
Veniliornis passerinus,Little Woodpecker,pica-pau-pequeno,LC
Veniliornis passerinus fidelis,,,
Veniliornis passerinus modestus,,,
Veniliornis passerinus diversus,,,
Veniliornis passerinus agilis,,,
Veniliornis passerinus insignis,,,
Veniliornis passerinus tapajozensis,,,
Veniliornis passerinus passerinus,,,
Veniliornis passerinus taenionotus,,,
Veniliornis passerinus olivinus,,,
Veniliornis frontalis,Dot-fronted Woodpecker,dot-fronted woodpecker,LC
Veniliornis callonotus,Scarlet-backed Woodpecker,scarlet-backed woodpecker,LC
Veniliornis callonotus callonotus,,,
Veniliornis callonotus major,,,
Veniliornis dignus,Yellow-vented Woodpecker,yellow-vented woodpecker,LC
Veniliornis dignus dignus,,,
Veniliornis dignus baezae,,,
Veniliornis dignus valdizani,,,
Veniliornis nigriceps,Bar-bellied Woodpecker,bar-bellied woodpecker,LC
Veniliornis nigriceps equifasciatus,,,
Veniliornis nigriceps pectoralis,,,
Veniliornis nigriceps nigriceps,,,
Veniliornis affinis,Red-stained Woodpecker,pica-pau-avermelhado,LC
Veniliornis affinis orenocensis,,,
Veniliornis affinis hilaris,,,
Veniliornis affinis ruficeps,,,
Veniliornis affinis affinis,,,
Veniliornis chocoensis,Choco Woodpecker,choco woodpecker,LC
Veniliornis maculifrons,Yellow-eared Woodpecker,pica-pau-de-testa-pintada,LC
Cariamiformes,,,
Cariamidae,,,
Cariama,,,
Cariama cristata,Red-legged Seriema,seriema,LC
Chunga,,,
Chunga burmeisteri,Black-legged Seriema,black-legged seriema,LC
Falconiformes,,,
Falconidae,,,
Herpetotheres,,,
Herpetotheres cachinnans,Laughing Falcon,acauã,LC
Herpetotheres cachinnans cachinnans,,,
Herpetotheres cachinnans fulvescens,,,
Micrastur,,,
Micrastur buckleyi,Buckley's Forest Falcon,falcão-de-buckley,LC
Micrastur semitorquatus,Collared Forest Falcon,falcão-relógio,LC
Micrastur semitorquatus naso,,,
Micrastur semitorquatus semitorquatus,,,
Micrastur mirandollei,Slaty-backed Forest Falcon,tanatau,LC
Micrastur ruficollis,Barred Forest Falcon,falcão-caburé,LC
Micrastur ruficollis guerilla,,,
Micrastur ruficollis interstes,,,
Micrastur ruficollis zonothorax,,,
Micrastur ruficollis concentricus,,,
Micrastur ruficollis ruficollis,,,
Micrastur ruficollis olrogi,,,
Micrastur mintoni,Cryptic Forest Falcon,falcão-críptico,NT
Micrastur plumbeus,Plumbeous Forest Falcon,plumbeous forest-falcon,VU
Micrastur gilvicollis,Lined Forest Falcon,falcão-mateiro,LC
Spiziapteryx,,,
Spiziapteryx circumcincta,Spot-winged Falconet,falcãozinho-cinza,LC
Caracara,,,
Caracara lutosa,Guadalupe Caracara,guadalupe caracara,EX
Caracara plancus,Crested Caracara,carcará,LC
Caracara plancus cheriway,,,
Caracara plancus plancus,,,
Ibycter,,,
Ibycter americanus,Red-throated Caracara,cancão,LC
Daptrius,,,
Daptrius chimachima,Yellow-headed Caracara,carrapateiro,LC
Daptrius chimachima cordatus,,,
Daptrius chimachima chimachima,,,
Daptrius ater,Black Caracara,gavião-de-anta,LC
Daptrius chimango,Chimango Caracara,chimango,LC
Daptrius chimango chimango,,,
Daptrius chimango temucoensis,,,
Daptrius carunculatus,Carunculated Caracara,carunculated caracara,LC
Daptrius megalopterus,Mountain Caracara,mountain caracara,LC
Daptrius albogularis,White-throated Caracara,white-throated caracara,LC
Daptrius australis,Striated Caracara,striated caracara,NT
Polihierax,,,
Polihierax semitorquatus,Pygmy Falcon,pygmy falcon,LC
Polihierax semitorquatus castanonotus,,,
Polihierax semitorquatus semitorquatus,,,
Microhierax,,,
Microhierax erythrogenys,Philippine Falconet,philippine falconet,LC
Microhierax erythrogenys erythrogenys,,,
Microhierax erythrogenys meridionalis,,,
Microhierax melanoleucos,Pied Falconet,pied falconet,LC
Microhierax caerulescens,Collared Falconet,collared falconet,LC
Microhierax caerulescens caerulescens,,,
Microhierax caerulescens burmanicus,,,
Microhierax fringillarius,Black-thighed Falconet,black-thighed falconet,LC
Microhierax latifrons,White-fronted Falconet,white-fronted falconet,NT
Neohierax,,,
Neohierax insignis,White-rumped Falcon,white-rumped falcon,NT
Neohierax insignis insignis,,,
Neohierax insignis cinereiceps,,,
Neohierax insignis harmandi,,,
Falco,,,
Falco zoniventris,Banded Kestrel,banded kestrel,LC
Falco naumanni,Lesser Kestrel,francelho,LC
Falco alopex,Fox Kestrel,fox kestrel,LC
Falco rupicoloides,Greater Kestrel,greater kestrel,LC
Falco rupicoloides fieldi,,,
Falco rupicoloides arthuri,,,
Falco rupicoloides rupicoloides,,,
Falco punctatus,Mauritius Kestrel,mauritius kestrel,EN
Falco duboisi,Reunion Kestrel,reunion kestrel,EX
Falco araeus,Seychelles Kestrel,seychelles kestrel,VU
Falco newtoni,Malagasy Kestrel,malagasy kestrel,LC
Falco newtoni newtoni,,,
Falco newtoni aldabranus,,,
Falco rupicolus,Rock Kestrel,rock kestrel,NE
Falco cenchroides,Nankeen Kestrel,nankeen kestrel,LC
Falco cenchroides baru,,,
Falco cenchroides cenchroides,,,
Falco moluccensis,Spotted Kestrel,peneireiro-das-molucas,LC
Falco moluccensis moluccensis,,,
Falco moluccensis microbalius,,,
Falco tinnunculus,Common Kestrel,peneireiro-de-dorso-malhado,NE
Falco tinnunculus tinnunculus,,,
Falco tinnunculus perpallidus,,,
Falco tinnunculus interstinctus,,,
Falco tinnunculus objurgatus,,,
Falco tinnunculus canariensis,,,
Falco tinnunculus dacotiae,,,
Falco tinnunculus neglectus,,,
