Scientific_name,English_name_AviList,Romanian,IUCN_Red_List_Category
Gallicolumba tristigmata tristigmata,,,
Gallicolumba tristigmata auripectus,,,
Gallicolumba tristigmata bimaculata,,,
Gallicolumba rufigula,Cinnamon Ground Dove,Cinnamon Ground Dove,LC
Gallicolumba rufigula rufigula,,,
Gallicolumba rufigula helviventris,,,
Gallicolumba rufigula alaris,,,
Gallicolumba platenae,Mindoro Bleeding-heart,Mindoro Bleeding-heart,CR
Gallicolumba keayi,Negros Bleeding-heart,Negros Bleeding-heart,CR
Gallicolumba menagei,Sulu Bleeding-heart,Sulu Bleeding-heart,CR
Gallicolumba luzonica,Luzon Bleeding-heart,Luzon Bleeding-heart,NT
Gallicolumba luzonica griseolateralis,,,
Gallicolumba luzonica luzonica,,,
Gallicolumba luzonica rubiventris,,,
Gallicolumba crinigera,Mindanao Bleeding-heart,Mindanao Bleeding-heart,VU
Gallicolumba crinigera leytensis,,,
Gallicolumba crinigera crinigera,,,
Gallicolumba crinigera bartletti,,,
Henicophaps,,,
Henicophaps foersteri,New Britain Bronzewing,New Britain Bronzewing,VU
Henicophaps albifrons,New Guinea Bronzewing,New Guinea Bronzewing,LC
Henicophaps albifrons albifrons,,,
Henicophaps albifrons schlegeli,,,
Pampusana,,,
Pampusana hoedtii,Wetar Ground Dove,Wetar Ground Dove,EN
Pampusana stairi,Shy Ground Dove,Shy Ground Dove,LC
Pampusana sanctaecrucis,Santa Cruz Ground Dove,Santa Cruz Ground Dove,EN
Pampusana salamonis,Thick-billed Ground Dove,Thick-billed Ground Dove,EX
Pampusana ferruginea,Tanna Ground Dove,Tanna Ground Dove,EX
Pampusana beccarii,Bronze Ground Dove,Bronze Ground Dove,NE
Pampusana beccarii beccarii,,,
Pampusana beccarii johannae,,,
Pampusana beccarii eichhorni,,,
Pampusana beccarii admiralitatis,,,
Pampusana beccarii intermedia,,,
Pampusana beccarii solomonensis,,,
Pampusana beccarii masculina,,,
Pampusana canifrons,Palau Ground Dove,Palau Ground Dove,EN
Pampusana jobiensis,White-breasted Ground Dove,White-bibbed Ground Dove,LC
Pampusana jobiensis jobiensis,,,
Pampusana jobiensis chalconota,,,
Pampusana rubescens,Marquesan Ground Dove,Marquesan Ground Dove,EN
Pampusana kubaryi,White-fronted Ground Dove,Caroline Islands Ground Dove,EN
Pampusana erythroptera,Polynesian Ground Dove,Polynesian Ground Dove,CR
Pampusana xanthonura,White-throated Ground Dove,White-throated Ground Dove,NT
Pampusana norfolkensis,Norfolk Ground Dove,Norfolk Ground Dove,NE
Leucosarcia,,,
Leucosarcia melanoleuca,Wonga Pigeon,Wonga Pigeon,LC
Phaps,,,
Phaps chalcoptera,Common Bronzewing,Common Bronzewing,LC
Phaps elegans,Brush Bronzewing,Brush Bronzewing,LC
Phaps elegans occidentalis,,,
Phaps elegans elegans,,,
Phaps histrionica,Flock Bronzewing,Flock Bronzewing,LC
Geopelia,,,
Geopelia cuneata,Diamond Dove,Diamond Dove,LC
Geopelia humeralis,Bar-shouldered Dove,Bar-shouldered Dove,LC
Geopelia humeralis gregalis,,,
Geopelia humeralis headlandi,,,
Geopelia humeralis inexpectata,,,
Geopelia humeralis humeralis,,,
Geopelia striata,Zebra Dove,Zebra Dove,LC
Geopelia placida,Peaceful Dove,Peaceful Dove,LC
Geopelia placida placida,,,
Geopelia placida clelandi,,,
Geopelia maugeus,Barred Dove,Barred Dove,LC
Petrophassa,,,
Petrophassa rufipennis,Chestnut-quilled Rock Pigeon,Chestnut-quilled Rock-Pigeon,LC
Petrophassa albipennis,White-quilled Rock Pigeon,White-quilled Rock-Pigeon,LC
Petrophassa albipennis albipennis,,,
Petrophassa albipennis boothi,,,
Ocyphaps,,,
Ocyphaps lophotes,Crested Pigeon,Crested Pigeon,LC
Ocyphaps lophotes whitlocki,,,
Ocyphaps lophotes lophotes,,,
Geophaps,,,
Geophaps plumifera,Spinifex Pigeon,Spinifex Pigeon,LC
Geophaps plumifera ferruginea,,,
Geophaps plumifera leucogaster,,,
Geophaps plumifera plumifera,,,
Geophaps scripta,Squatter Pigeon,Squatter Pigeon,LC
Geophaps scripta peninsulae,,,
Geophaps scripta scripta,,,
Geophaps smithii,Partridge Pigeon,Partridge Pigeon,LC
Geophaps smithii blaauwi,,,
Geophaps smithii smithii,,,
Trugon,,,
Trugon terrestris,Thick-billed Ground Pigeon,Thick-billed Ground-Pigeon,LC
Trugon terrestris leucopareia,,,
Trugon terrestris mayri,,,
Trugon terrestris terrestris,,,
Microgoura,,,
Microgoura meeki,Choiseul Pigeon,Choiseul Pigeon,EX
Otidiphaps,,,
Otidiphaps nobilis,Pheasant Pigeon,Pheasant Pigeon,NE
Otidiphaps nobilis aruensis,,,
Otidiphaps nobilis nobilis,,,
Otidiphaps nobilis cervicalis,,,
Otidiphaps nobilis insularis,,,
Goura,,,
Goura cristata,Western Crowned Pigeon,Western Crowned-Pigeon,VU
Goura sclaterii,Sclater's Crowned Pigeon,Sclater's Crowned-Pigeon,NT
Goura scheepmakeri,Scheepmaker's Crowned Pigeon,Scheepmaker's Crowned-Pigeon,VU
Goura victoria,Victoria Crowned Pigeon,Victoria Crowned-Pigeon,NT
Goura victoria victoria,,,
Goura victoria beccarii,,,
Didunculus,,,
Didunculus strigirostris,Tooth-billed Pigeon,Tooth-billed Pigeon,CR
Raphus,,,
Raphus cucullatus,Dodo,Dodo,EX
Pezophaps,,,
Pezophaps solitaria,Rodrigues Solitaire,Rodrigues Solitaire,EX
Caloenas,,,
Caloenas maculata,Spotted Green Pigeon,Spotted Green Pigeon,EX
Caloenas nicobarica,Nicobar Pigeon,Nicobar Pigeon,NT
Caloenas nicobarica nicobarica,,,
Caloenas nicobarica pelewensis,,,
Hemiphaga,,,
Hemiphaga chathamensis,Chatham Islands Pigeon,Chatham Islands Pigeon,VU
Hemiphaga novaeseelandiae,New Zealand Pigeon,New Zealand Pigeon,LC
Hemiphaga novaeseelandiae novaeseelandiae,,,
Hemiphaga novaeseelandiae spadicea,,,
Cryptophaps,,,
Cryptophaps poecilorrhoa,Sombre Pigeon,Sombre Pigeon,LC
Lopholaimus,,,
Lopholaimus antarcticus,Topknot Pigeon,Topknot Pigeon,LC
Gymnophaps,,,
Gymnophaps albertisii,Papuan Mountain Pigeon,Papuan Mountain-Pigeon,LC
Gymnophaps albertisii exsul,,,
Gymnophaps albertisii albertisii,,,
Gymnophaps mada,Buru Mountain Pigeon,Buru Mountain-Pigeon,LC
Gymnophaps stalkeri,Seram Mountain Pigeon,Seram Mountain-Pigeon,LC
Gymnophaps solomonensis,Pale Mountain Pigeon,Pale Mountain-Pigeon,LC
Ducula,,,
Ducula poliocephala,Pink-bellied Imperial Pigeon,Pink-bellied Imperial-Pigeon,NT
Ducula forsteni,White-bellied Imperial Pigeon,White-bellied Imperial-Pigeon,LC
Ducula mindorensis,Mindoro Imperial Pigeon,Mindoro Imperial-Pigeon,NT
Ducula radiata,Grey-headed Imperial Pigeon,Gray-headed Imperial-Pigeon,LC
Ducula carola,Spotted Imperial Pigeon,Spotted Imperial-Pigeon,VU
Ducula carola carola,,,
Ducula carola nigrorum,,,
Ducula carola mindanensis,,,
Ducula aenea,Green Imperial Pigeon,Green Imperial-Pigeon,NT
Ducula aenea sylvatica,,,
Ducula aenea pusilla,,,
Ducula aenea andamanica,,,
Ducula aenea consobrina,,,
Ducula aenea polia,,,
Ducula aenea palawanensis,,,
Ducula aenea fugaensis,,,
Ducula aenea nuchalis,,,
Ducula aenea aenea,,,
Ducula aenea intermedia,,,
Ducula aenea paulina,,,
Ducula oenothorax,Enggano Imperial Pigeon,Enggano Imperial-Pigeon,NT
Ducula nicobarica,Nicobar Imperial Pigeon,Nicobar Imperial-Pigeon,NT
Ducula perspicillata,Spectacled Imperial Pigeon,Spectacled Imperial-Pigeon,LC
Ducula neglecta,Seram Imperial Pigeon,Seram Imperial-Pigeon,LC
Ducula concinna,Elegant Imperial Pigeon,Elegant Imperial-Pigeon,LC
Ducula pacifica,Pacific Imperial Pigeon,Pacific Imperial-Pigeon,LC
Ducula pacifica sejuncta,,,
Ducula pacifica pacifica,,,
Ducula rubricera,Red-knobbed Imperial Pigeon,Red-knobbed Imperial-Pigeon,LC
Ducula rubricera rubricera,,,
Ducula rubricera rufigula,,,
Ducula oceanica,Micronesian Imperial Pigeon,Micronesian Imperial-Pigeon,VU
Ducula oceanica monacha,,,
Ducula oceanica teraokai,,,
Ducula oceanica townsendi,,,
Ducula oceanica oceanica,,,
Ducula oceanica ratakensis,,,
Ducula aurorae,Polynesian Imperial Pigeon,Polynesian Imperial-Pigeon,EN
Ducula galeata,Nuku Hiva Imperial Pigeon,Nuku Hiva Imperial-Pigeon,EN
Ducula myristicivora,Spice Imperial Pigeon,Spice Imperial-Pigeon,LC
Ducula geelvinkiana,Geelvink Imperial Pigeon,Geelvink Imperial-Pigeon,LC
Ducula rufigaster,Purple-tailed Imperial Pigeon,Purple-tailed Imperial-Pigeon,LC
Ducula rufigaster rufigaster,,,
Ducula rufigaster uropygialis,,,
Ducula basilica,Cinnamon-bellied Imperial Pigeon,Cinnamon-bellied Imperial-Pigeon,NE
Ducula basilica basilica,,,
Ducula basilica obiensis,,,
Ducula finschii,Finsch's Imperial Pigeon,Finsch's Imperial-Pigeon,NT
Ducula chalconota,Rufescent Imperial Pigeon,Rufescent Imperial-Pigeon,LC
Ducula chalconota chalconota,,,
Ducula chalconota smaragdina,,,
Ducula pistrinaria,Island Imperial Pigeon,Island Imperial-Pigeon,LC
Ducula pistrinaria rhodinolaema,,,
Ducula pistrinaria vanwyckii,,,
Ducula pistrinaria postrema,,,
Ducula pistrinaria pistrinaria,,,
Ducula rosacea,Pink-headed Imperial Pigeon,Pink-headed Imperial-Pigeon,NT
Ducula whartoni,Christmas Imperial Pigeon,Christmas Island Imperial-Pigeon,LC
Ducula pickeringii,Grey Imperial Pigeon,Gray Imperial-Pigeon,NT
Ducula latrans,Barking Imperial Pigeon,Barking Imperial-Pigeon,LC
Ducula brenchleyi,Chestnut-bellied Imperial Pigeon,Chestnut-bellied Imperial-Pigeon,NT
Ducula bakeri,Vanuatu Imperial Pigeon,Baker's Imperial-Pigeon,LC
Ducula goliath,Goliath Imperial Pigeon,New Caledonian Imperial-Pigeon,NT
Ducula pinon,Pinon's Imperial Pigeon,Pinon's Imperial-Pigeon,LC
Ducula pinon pinon,,,
Ducula pinon jobiensis,,,
Ducula pinon salvadorii,,,
Ducula melanochroa,Black Imperial Pigeon,Bismarck Imperial-Pigeon,LC
Ducula mullerii,Collared Imperial Pigeon,Collared Imperial-Pigeon,LC
Ducula zoeae,Zoe's Imperial Pigeon,Zoe's Imperial-Pigeon,LC
Ducula cuprea,Malabar Imperial Pigeon,Malabar Imperial-Pigeon,LC
Ducula badia,Mountain Imperial Pigeon,Mountain Imperial-Pigeon,LC
Ducula badia insignis,,,
Ducula badia griseicapilla,,,
Ducula badia badia,,,
Ducula lacernulata,Dark-backed Imperial Pigeon,Dark-backed Imperial-Pigeon,LC
Ducula lacernulata lacernulata,,,
Ducula lacernulata williami,,,
Ducula lacernulata sasakensis,,,
Ducula cineracea,Timor Imperial Pigeon,Timor Imperial-Pigeon,NT
Ducula bicolor,Pied Imperial Pigeon,Pied Imperial-Pigeon,LC
Ducula subflavescens,Yellowish Imperial Pigeon,Yellowish Imperial-Pigeon,NT
Ducula spilorrhoa,Torresian Imperial Pigeon,Torresian Imperial-Pigeon,LC
Ducula luctuosa,Silver-tipped Imperial Pigeon,Silver-tipped Imperial-Pigeon,LC
Megaloprepia,,,
Megaloprepia formosa,Scarlet-breasted Fruit Dove,Scarlet-breasted Fruit-Dove,LC
Megaloprepia formosa micra,,,
Megaloprepia formosa formosa,,,
Megaloprepia magnifica,Wompoo Fruit Dove,Wompoo Fruit-Dove,LC
Megaloprepia magnifica puella,,,
Megaloprepia magnifica poliura,,,
Megaloprepia magnifica assimilis,,,
Megaloprepia magnifica keri,,,
Megaloprepia magnifica magnifica,,,
Ramphiculus,,,
Ramphiculus occipitalis,Yellow-breasted Fruit Dove,Yellow-breasted Fruit-Dove,LC
Ramphiculus occipitalis occipitalis,,,
Ramphiculus occipitalis incognitus,,,
Ramphiculus marchei,Flame-breasted Fruit Dove,Flame-breasted Fruit-Dove,NT
Ramphiculus merrilli,Cream-breasted Fruit Dove,Cream-breasted Fruit-Dove,NT
Ramphiculus merrilli faustinoi,,,
Ramphiculus merrilli merrilli,,,
Ramphiculus fischeri,Red-eared Fruit Dove,Red-eared Fruit-Dove,LC
Ramphiculus fischeri fischeri,,,
Ramphiculus fischeri centralis,,,
Ramphiculus fischeri meridionalis,,,
Ramphiculus jambu,Jambu Fruit Dove,Jambu Fruit-Dove,VU
Ramphiculus gularis,Oberholser's Fruit Dove,Maroon-chinned Fruit-Dove,LC
Ramphiculus subgularis,Banggai Fruit Dove,Banggai Fruit-Dove,NT
Ramphiculus mangoliensis,Sula Fruit Dove,Sula Fruit-Dove,NT
Ramphiculus leclancheri,Black-chinned Fruit Dove,Black-chinned Fruit-Dove,LC
Ramphiculus leclancheri taiwanus,,,
Ramphiculus leclancheri longialis,,,
Ramphiculus leclancheri leclancheri,,,
Ramphiculus leclancheri gironieri,,,
Alectroenas,,,
Alectroenas nitidissimus,Mauritius Blue Pigeon,Mauritius Blue-Pigeon,EX
Alectroenas madagascariensis,Madagascar Blue Pigeon,Madagascar Blue-Pigeon,NT
Alectroenas sganzini,Comoro Blue Pigeon,Comoro Blue-Pigeon,NT
Alectroenas sganzini minor,,,
Alectroenas sganzini sganzini,,,
Alectroenas pulcherrimus,Seychelles Blue Pigeon,Seychelles Blue-Pigeon,LC
Ptilinopus,,,
Ptilinopus cinctus,Banded Fruit Dove,Black-backed Fruit-Dove,LC
Ptilinopus cinctus baliensis,,,
Ptilinopus cinctus albocinctus,,,
Ptilinopus cinctus everetti,,,
Ptilinopus cinctus cinctus,,,
Ptilinopus cinctus lettiensis,,,
Ptilinopus cinctus ottonis,,,
Ptilinopus alligator,Black-banded Fruit Dove,Black-banded Fruit-Dove,LC
Ptilinopus dohertyi,Red-naped Fruit Dove,Red-naped Fruit-Dove,VU
Ptilinopus porphyreus,Pink-headed Fruit Dove,Pink-headed Fruit-Dove,LC
Ptilinopus perlatus,Pink-spotted Fruit Dove,Pink-spotted Fruit-Dove,LC
Ptilinopus perlatus perlatus,,,
Ptilinopus perlatus plumbeicollis,,,
Ptilinopus perlatus zonurus,,,
Ptilinopus ornatus,Ornate Fruit Dove,Ornate Fruit-Dove,NE
Ptilinopus ornatus ornatus,,,
Ptilinopus ornatus gestroi,,,
Ptilinopus tannensis,Tanna Fruit Dove,Tanna Fruit-Dove,LC
Ptilinopus aurantiifrons,Orange-fronted Fruit Dove,Orange-fronted Fruit-Dove,LC
Ptilinopus wallacii,Wallace's Fruit Dove,Wallace's Fruit-Dove,LC
Ptilinopus superbus,Superb Fruit Dove,Superb Fruit-Dove,NE
Ptilinopus superbus temminckii,,,
Ptilinopus superbus superbus,,,
Ptilinopus perousii,Many-colored Fruit Dove,Many-colored Fruit-Dove,LC
Ptilinopus perousii perousii,,,
Ptilinopus perousii mariae,,,
Ptilinopus ponapensis,Purple-capped Fruit Dove,Purple-capped Fruit-Dove,LC
Ptilinopus hernsheimi,Kosrae Fruit Dove,Kosrae Fruit-Dove,LC
Ptilinopus porphyraceus,Crimson-crowned Fruit Dove,Crimson-crowned Fruit-Dove,NE
Ptilinopus porphyraceus porphyraceus,,,
Ptilinopus porphyraceus fasciatus,,,
Ptilinopus pelewensis,Palau Fruit Dove,Palau Fruit-Dove,LC
Ptilinopus rarotongensis,Lilac-crowned Fruit Dove,Cook Islands Fruit-Dove,NT
Ptilinopus rarotongensis rarotongensis,,,
Ptilinopus rarotongensis goodwini,,,
Ptilinopus roseicapilla,Mariana Fruit Dove,Mariana Fruit-Dove,NT
Ptilinopus regina,Rose-crowned Fruit Dove,Rose-crowned Fruit-Dove,LC
Ptilinopus regina flavicollis,,,
Ptilinopus regina roseipileum,,,
Ptilinopus regina xanthogaster,,,
Ptilinopus regina ewingii,,,
Ptilinopus regina regina,,,
Ptilinopus richardsii,Silver-capped Fruit Dove,Silver-capped Fruit-Dove,LC
Ptilinopus richardsii richardsii,,,
Ptilinopus richardsii cyanopterus,,,
Ptilinopus chrysogaster,Raiatea Fruit Dove,Raiatea Fruit-Dove,EN
Ptilinopus purpuratus,Grey-green Fruit Dove,Gray-green Fruit-Dove,LC
Ptilinopus purpuratus frater,,,
Ptilinopus purpuratus purpuratus,,,
Ptilinopus chalcurus,Makatea Fruit Dove,Makatea Fruit-Dove,VU
Ptilinopus coralensis,Atoll Fruit Dove,Atoll Fruit-Dove,NT
Ptilinopus greyi,Red-bellied Fruit Dove,Red-bellied Fruit-Dove,LC
Ptilinopus huttoni,Rapa Fruit Dove,Rapa Fruit-Dove,CR
Ptilinopus dupetithouarsii,White-capped Fruit Dove,White-capped Fruit-Dove,LC
Ptilinopus dupetithouarsii viridior,,,
Ptilinopus dupetithouarsii dupetithouarsii,,,
Ptilinopus mercierii,Red-moustached Fruit Dove,Red-moustached Fruit-Dove,EX
Ptilinopus mercierii mercierii,,,
Ptilinopus mercierii tristrami,,,
Ptilinopus insularis,Henderson Fruit Dove,Henderson Island Fruit-Dove,VU
Ptilinopus coronulatus,Coroneted Fruit Dove,Coroneted Fruit-Dove,LC
Ptilinopus coronulatus trigeminus,,,
Ptilinopus coronulatus geminus,,,
Ptilinopus coronulatus quadrigeminus,,,
Ptilinopus coronulatus huonensis,,,
Ptilinopus coronulatus coronulatus,,,
Ptilinopus pulchellus,Beautiful Fruit Dove,Beautiful Fruit-Dove,LC
Ptilinopus monacha,Blue-capped Fruit Dove,Blue-capped Fruit-Dove,LC
Ptilinopus rivoli,White-bibbed Fruit Dove,White-breasted Fruit-Dove,LC
Ptilinopus rivoli prasinorrhous,,,
Ptilinopus rivoli bellus,,,
Ptilinopus rivoli miquelii,,,
Ptilinopus rivoli rivoli,,,
Ptilinopus rivoli strophium,,,
Ptilinopus speciosus,Geelvink Fruit Dove,Geelvink Fruit-Dove,LC
Ptilinopus solomonensis,Yellow-bibbed Fruit Dove,Yellow-bibbed Fruit-Dove,LC
Ptilinopus solomonensis johannis,,,
Ptilinopus solomonensis meyeri,,,
Ptilinopus solomonensis neumanni,,,
Ptilinopus solomonensis bistictus,,,
Ptilinopus solomonensis ocularis,,,
Ptilinopus solomonensis vulcanorum,,,
Ptilinopus solomonensis ambiguus,,,
Ptilinopus solomonensis solomonensis,,,
Ptilinopus viridis,Claret-breasted Fruit Dove,Claret-breasted Fruit-Dove,LC
Ptilinopus viridis viridis,,,
Ptilinopus viridis pectoralis,,,
Ptilinopus viridis geelvinkianus,,,
Ptilinopus viridis salvadorii,,,
Ptilinopus viridis vicinus,,,
Ptilinopus viridis lewisii,,,
Ptilinopus eugeniae,White-headed Fruit Dove,White-headed Fruit-Dove,LC
Ptilinopus iozonus,Orange-bellied Fruit Dove,Orange-bellied Fruit-Dove,LC
Ptilinopus iozonus iozonus,,,
Ptilinopus iozonus humeralis,,,
Ptilinopus iozonus iobiensis,,,
Ptilinopus iozonus finschi,,,
Ptilinopus insolitus,Knob-billed Fruit Dove,Knob-billed Fruit-Dove,LC
Ptilinopus insolitus insolitus,,,
Ptilinopus insolitus inferior,,,
Ptilinopus hyogastrus,Grey-headed Fruit Dove,Gray-headed Fruit-Dove,LC
Ptilinopus granulifrons,Carunculated Fruit Dove,Carunculated Fruit-Dove,VU
Ptilinopus melanospilus,Black-naped Fruit Dove,Black-naped Fruit-Dove,LC
Ptilinopus melanospilus bangueyensis,,,
Ptilinopus melanospilus xanthorrhous,,,
Ptilinopus melanospilus melanospilus,,,
Ptilinopus melanospilus chrysorrhous,,,
Ptilinopus melanospilus melanauchen,,,
Ptilinopus nainus,Dwarf Fruit Dove,Dwarf Fruit-Dove,LC
Ptilinopus arcanus,Negros Fruit Dove,Negros Fruit-Dove,CR
Ptilinopus victor,Orange Dove,Orange Dove,LC
Ptilinopus victor victor,,,
Ptilinopus victor aureus,,,
Ptilinopus luteovirens,Golden Dove,Golden Dove,LC
Ptilinopus layardi,Whistling Dove,Whistling Dove,NT
Ptilinopus holosericea,Cloven-feathered Dove,Cloven-feathered Dove,LC
Opisthocomiformes,,,
Opisthocomidae,,,
Opisthocomus,,,
Opisthocomus hoazin,Hoatzin,Hoatzin,LC
Gruiformes,,,
Psophiidae,,,
Psophia,,,
Psophia crepitans,Grey-winged Trumpeter,Gray-winged Trumpeter,NE
Psophia crepitans crepitans,,,
Psophia crepitans napensis,,,
Psophia crepitans ochroptera,,,
Psophia leucoptera,Pale-winged Trumpeter,Pale-winged Trumpeter,LC
Psophia viridis,Dark-winged Trumpeter,Dark-winged Trumpeter,NE
Psophia viridis viridis,,,
Psophia viridis dextralis,,,
Psophia viridis obscura,,,
Aramidae,,,
Aramus,,,
Aramus guarauna,Limpkin,Limpkin,LC
Aramus guarauna pictus,,,
Aramus guarauna elucus,,,
Aramus guarauna dolosus,,,
Aramus guarauna guarauna,,,
Gruidae,,,
Balearica,,,
Balearica regulorum,Grey Crowned Crane,Gray Crowned-Crane,EN
Balearica regulorum gibbericeps,,,
Balearica regulorum regulorum,,,
Balearica pavonina,Black Crowned Crane,Black Crowned-Crane,VU
Balearica pavonina ceciliae,,,
Balearica pavonina pavonina,,,
Leucogeranus,,,
Leucogeranus leucogeranus,Siberian Crane,Cocor alb siberian,CR
Antigone,,,
Antigone canadensis,Sandhill Crane,Cocor canadian,LC
Antigone canadensis canadensis,,,
Antigone canadensis tabida,,,
Antigone canadensis pratensis,,,
Antigone canadensis pulla,,,
Antigone canadensis nesiotes,,,
Antigone vipio,White-naped Crane,White-naped Crane,VU
Antigone rubicunda,Brolga,Brolga,LC
Antigone antigone,Sarus Crane,Sarus Crane,VU
Antigone antigone antigone,,,
Antigone antigone sharpii,,,
Antigone antigone gillae,,,
Grus,,,
Grus carunculata,Wattled Crane,Wattled Crane,VU
Grus virgo,Demoiselle Crane,Cocor mic,LC
Grus paradisea,Blue Crane,Blue Crane,VU
Grus japonensis,Red-crowned Crane,Red-crowned Crane,VU
Grus americana,Whooping Crane,Whooping Crane,EN
Grus grus,Common Crane,Cocor,LC
Grus monacha,Hooded Crane,Hooded Crane,VU
Grus nigricollis,Black-necked Crane,Black-necked Crane,NT
Heliornithidae,,,
Podica,,,
Podica senegalensis,African Finfoot,African Finfoot,LC
Podica senegalensis camerunensis,,,
Podica senegalensis petersii,,,
Podica senegalensis senegalensis,,,
Podica senegalensis somereni,,,
Heliornis,,,
Heliornis fulica,Sungrebe,Sungrebe,LC
Heliopais,,,
Heliopais personatus,Masked Finfoot,Masked Finfoot,CR
Sarothruridae,,,
Mentocrex,,,
Mentocrex beankaensis,Tsingy Forest Rail,Tsingy Forest Rail,VU
Mentocrex kioloides,Madagascar Forest Rail,Madagascar Forest Rail,LC
Mentocrex kioloides berliozi,,,
Mentocrex kioloides kioloides,,,
Rallicula,,,
Rallicula rubra,Chestnut Forest Rail,Chestnut Forest Rail,LC
Rallicula rubra rubra,,,
Rallicula rubra klossi,,,
Rallicula leucospila,White-striped Forest Rail,White-striped Forest Rail,LC
Rallicula forbesi,Forbes's Forest Rail,Forbes's Forest Rail,LC
Rallicula forbesi parva,,,
Rallicula forbesi forbesi,,,
Rallicula mayri,Mayr's Forest Rail,Mayr's Forest Rail,LC
Rallicula mayri mayri,,,
Rallicula mayri carmichaeli,,,
Sarothrura,,,
Sarothrura pulchra,White-spotted Flufftail,White-spotted Flufftail,LC
Sarothrura pulchra batesi,,,
Sarothrura pulchra centralis,,,
Sarothrura pulchra pulchra,,,
Sarothrura pulchra zenkeri,,,
Sarothrura elegans,Buff-spotted Flufftail,Buff-spotted Flufftail,LC
Sarothrura elegans reichenovi,,,
Sarothrura elegans elegans,,,
Sarothrura rufa,Red-chested Flufftail,Red-chested Flufftail,LC
Sarothrura rufa bonapartii,,,
Sarothrura rufa elizabethae,,,
Sarothrura rufa rufa,,,
Sarothrura lugens,Chestnut-headed Flufftail,Chestnut-headed Flufftail,LC
Sarothrura lugens lugens,,,
Sarothrura lugens lynesi,,,
Sarothrura boehmi,Streaky-breasted Flufftail,Streaky-breasted Flufftail,LC
Sarothrura affinis,Striped Flufftail,Striped Flufftail,LC
Sarothrura affinis antonii,,,
Sarothrura affinis affinis,,,
Sarothrura insularis,Madagascar Flufftail,Madagascar Flufftail,LC
Sarothrura ayresi,White-winged Flufftail,White-winged Flufftail,CR
Sarothrura watersi,Slender-billed Flufftail,Slender-billed Flufftail,NT
Rallidae,,,
Anurolimnas,,,
Anurolimnas castaneiceps,Chestnut-headed Crake,Chestnut-headed Crake,LC
Anurolimnas castaneiceps coccineipes,,,
Anurolimnas castaneiceps castaneiceps,,,
Pardirallus,,,
Pardirallus maculatus,Spotted Rail,Spotted Rail,LC
Pardirallus maculatus insolitus,,,
Pardirallus maculatus maculatus,,,
Pardirallus nigricans,Blackish Rail,Blackish Rail,LC
Pardirallus nigricans caucae,,,
Pardirallus nigricans nigricans,,,
Pardirallus sanguinolentus,Plumbeous Rail,Plumbeous Rail,LC
Pardirallus sanguinolentus simonsi,,,
Pardirallus sanguinolentus tschudii,,,
Pardirallus sanguinolentus zelebori,,,
Pardirallus sanguinolentus sanguinolentus,,,
Pardirallus sanguinolentus landbecki,,,
Pardirallus sanguinolentus luridus,,,
Mustelirallus,,,
Mustelirallus albicollis,Ash-throated Crake,Ash-throated Crake,LC
Mustelirallus albicollis typhoeca,,,
Mustelirallus albicollis albicollis,,,
Mustelirallus cerverai,Zapata Rail,Zapata Rail,CR
Mustelirallus colombianus,Colombian Crake,Colombian Crake,DD
Mustelirallus colombianus ripleyi,,,
Mustelirallus colombianus colombianus,,,
Mustelirallus erythrops,Paint-billed Crake,Paint-billed Crake,LC
Mustelirallus erythrops olivascens,,,
Mustelirallus erythrops erythrops,,,
Amaurolimnas,,,
Amaurolimnas concolor,Uniform Crake,Uniform Crake,LC
Amaurolimnas concolor concolor,,,
Amaurolimnas concolor guatemalensis,,,
Amaurolimnas concolor castaneus,,,
Aramides,,,
Aramides ypecaha,Giant Wood Rail,Giant Wood-Rail,LC
Aramides wolfi,Brown Wood Rail,Brown Wood-Rail,LC
Aramides mangle,Little Wood Rail,Little Wood-Rail,LC
Aramides axillaris,Rufous-necked Wood Rail,Rufous-necked Wood-Rail,LC
Aramides albiventris,Russet-naped Wood Rail,Russet-naped Wood-Rail,LC
Aramides albiventris mexicanus,,,
Aramides albiventris vanrossemi,,,
Aramides albiventris albiventris,,,
Aramides albiventris pacificus,,,
Aramides albiventris plumbeicollis,,,
Aramides cajaneus,Grey-cowled Wood Rail,Gray-cowled Wood-Rail,LC
Aramides cajaneus cajaneus,,,
Aramides cajaneus avicenniae,,,
Aramides calopterus,Red-winged Wood Rail,Red-winged Wood-Rail,LC
Aramides saracura,Slaty-breasted Wood Rail,Slaty-breasted Wood-Rail,LC
Canirallus,,,
Canirallus oculeus,Grey-throated Rail,Gray-throated Rail,LC
Rallus,,,
Rallus obsoletus,Ridgway's Rail,Ridgway's Rail,NT
Rallus obsoletus obsoletus,,,
Rallus obsoletus levipes,,,
Rallus obsoletus yumanensis,,,
Rallus obsoletus beldingi,,,
Rallus tenuirostris,Aztec Rail,Aztec Rail,NT
Rallus longirostris,Mangrove Rail,Mangrove Rail,LC
Rallus longirostris phelpsi,,,
Rallus longirostris dillonripleyi,,,
Rallus longirostris margaritae,,,
Rallus longirostris pelodramus,,,
Rallus longirostris longirostris,,,
Rallus longirostris crassirostris,,,
Rallus longirostris cypereti,,,
Rallus longirostris berryorum,,,
Rallus elegans,King Rail,King Rail,NT
Rallus elegans elegans,,,
