SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Struthio camelus,Avestruz-comum,ostric2,species,2.0,COOS,STCA,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Struthio molybdophanes,Avestruz-da-etiópia,ostric3,species,7.0,SOOS,STMO,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Struthio camelus/molybdophanes,Avestruz-comum/Avestruz-da-etiópia,y00934,slash,8.0,SOOS COOS,STCA STMO,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Casuarius casuarius,Southern cassowary,soucas1,species,10.0,SOCA,CACA,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Casuarius bennetti,Dwarf cassowary,dwacas1,species,11.0,DWCA,CABE,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Casuarius unappendiculatus,Northern cassowary,norcas1,species,12.0,NOCA,CAUN,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Dromaius novaehollandiae,Emu,emu1,species,13.0,EMU COEM,DRNO,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Apteryx australis,Southern brown kiwi,sobkiw1,species,19.0,SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx australis australis,Southern brown kiwi (South I.),sobkiw2,issf,20.0,SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,sobkiw1,,,aptery1
Apteryx australis lawryi,Southern brown kiwi (Stewart I.),sobkiw3,issf,21.0,SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,sobkiw1,,,aptery1
Apteryx rowi,Okarito brown kiwi,okbkiw1,species,22.0,OBKI OKKI,APRO,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx mantelli,North island brown kiwi,nibkiw1,species,23.0,NIBK,APMA,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx owenii,Little spotted kiwi,liskiw1,species,24.0,LSKI,APOW,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx rowi x owenii,Okarito brown x little spotted kiwi (hybrid),x01059,hybrid,25.0,OBKI LSKI OKKI,APOW APRO,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx maxima,Great spotted kiwi,grskiw1,species,26.0,GSKI,APMA,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx sp.,kiwi sp.,kiwi1,spuh,27.0,,,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Rhea americana,Nandú-grande,grerhe1,species,29.0,GRRH,RHAM,,Rheiformes,Rheas,Rheidae,,,,rheida1
Rhea pennata,Lesser rhea,lesrhe2,species,35.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,,,,rheida1
Rhea pennata tarapacensis/garleppi,Lesser rhea (Puna),lesrhe4,issf,36.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2,,,rheida1
Rhea pennata pennata,Lesser rhea (Darwin's),lesrhe3,issf,39.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2,,,rheida1
Nothocercus julius,Tawny-breasted tinamou,tabtin1,species,41.0,TBTI,NOJU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus bonapartei,Highland tinamou,higtin1,species,42.0,,NOBO,HITI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus bonapartei [bonapartei Group],Highland tinamou (South American),higtin2,issf,43.0,HITI,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1,,,tinami1
Nothocercus bonapartei frantzii,Highland tinamou (Costa Rican),higtin3,issf,48.0,HITI,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1,,,tinami1
Nothocercus nigrocapillus,Hooded tinamou,hootin1,species,49.0,HOTI,NONI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus tao,Azulona,grytin1,species,52.0,GRTI,TITA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus solitarius,Macuco,soltin1,species,57.0,SOTI,TISO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus osgoodi,Black tinamou,blatin1,species,58.0,BLTI,TIOS,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus major,Inhambu-de-cabeça-vermelha,gretin1,species,61.0,,TIMA,GRTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus guttatus,Inhambu-galinha,whttin1,species,74.0,WTTI,TIGU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus sp.,Tinamus sp.,tinamu1,spuh,75.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinereus,Inhambu-preto,cintin1,species,76.0,CITI,CRCI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus berlepschi,Berlepsch's tinamou,bertin1,species,77.0,BETI,CRBE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus soui,Tururim,littin1,species,78.0,,CRSO,LITI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus ptaritepui,Tepui tinamou,teptin1,species,93.0,TETI,CRPT,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus obsoletus,Inhambuguaçu,brotin1,species,94.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus obsoletus castaneus,Inhambuguaçu (castaneus),brntin1,issf,95.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,,tinami1
Crypturellus obsoletus [obsoletus Group],Inhambuguaçu [grupo obsoletus],brntin2,issf,96.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,,tinami1
Crypturellus undulatus,Jaó,undtin1,species,105.0,UNTI,CRUN,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus transfasciatus,Pale-browed tinamou,pabtin1,species,112.0,PBTI,CRTR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus strigulosus,Inhambu-relógio,bratin1,species,113.0,BRTI,CRST,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus duidae,Inhambu-de-patas-cinzentas,gyltin1,species,114.0,GLTI,CRDU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus erythropus,Inhambu-de-pernas-vermelhas,reltin1,species,115.0,RLTI,CRER,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus noctivagus,Jaó-do-sul,yeltin1,species,123.0,YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus noctivagus zabele,Jaó-do-sul (zabele),yeltin2,issf,124.0,YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,yeltin1,,,tinami1
Crypturellus noctivagus noctivagus,Jaó-do-sul (noctivagus),yeltin3,issf,125.0,YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,yeltin1,,,tinami1
Crypturellus atrocapillus,Inhambu-de-coroa-preta,blctin1,species,126.0,BCTI,CRAT,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus boucardi,Slaty-breasted tinamou,slbtin1,species,129.0,,CRBO,SBTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus kerriae,Choco tinamou,chotin1,species,132.0,,CRKE,CHTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus variegatus,Inhambu-anhangá,vartin1,species,133.0,VATI,CRVA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinnamomeus,Thicket tinamou,thitin1,species,134.0,ETTI,CRCI,THTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinnamomeus occidentalis,Thicket tinamou (occidentalis),thitin2,issf,135.0,ETTI THTI,CRCI,,Tinamiformes,Tinamous,Tinamidae,thitin1,,,tinami1
Crypturellus cinnamomeus [cinnamomeus Group],Thicket tinamou (cinnamomeus Group),thitin3,issf,136.0,ETTI THTI,CRCI,,Tinamiformes,Tinamous,Tinamidae,thitin1,,,tinami1
Crypturellus brevirostris,Inhambu-carijó,rustin1,species,145.0,RUTI,CRBR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus bartletti,Inhambu-anhangaí,bartin2,species,146.0,BATI,CRBA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus parvirostris,Inhambu-chororó,smbtin1,species,147.0,SBTI,CRPA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus casiquiare,Barred tinamou,bartin1,species,148.0,BATI,CRCA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus tataupa,Inhambu-chintã,tattin1,species,149.0,TATI,CRTA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus sp.,Crypturellus sp. (inhambu),cryptu1,spuh,154.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Rhynchotus rufescens,Perdiz-do-brasil,rewtin1,species,155.0,RWTI,RHRU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Rhynchotus maculicollis,Huayco tinamou,huatin1,species,159.0,HUTI,RHMA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta taczanowskii,Taczanowski's tinamou,tactin1,species,160.0,TATI,NOTA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta ornata,Ornate tinamou,orntin1,species,161.0,ORTI,NOOR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta perdicaria,Chilean tinamou,chitin1,species,165.0,CHTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta cinerascens,Brushland tinamou,brutin1,species,168.0,BRTI,NOCI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta pentlandii,Andean tinamou,andtin1,species,171.0,ANTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta curvirostris,Curve-billed tinamou,cubtin1,species,180.0,CBTI,NOCU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta sp.,Nothoprocta sp.,nothop1,spuh,183.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura boraquira,Codorna-do-nordeste,whbnot1,species,184.0,WBNO,NOBO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura minor,Codorna-mineira,lesnot1,species,185.0,LENO,NOMI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura darwinii,Darwin's nothura,darnot1,species,186.0,DANO,NODA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura maculosa,Codorna-amarela,sponot1,species,192.0,SPNO,NOMA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura boraquira/maculosa,White-bellied/Spotted Nothura,y01225,slash,202.0,SPNO WBNO,NOMA NOBO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura minor/maculosa,Lesser/Spotted Nothura,y01226,slash,203.0,SPNO LENO,NOMA NOMI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Taoniscus nanus,Inhambu-carapé,dwatin1,species,204.0,DWTI,TANA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Eudromia elegans,Elegant crested-tinamou,elctin1,species,205.0,ELCT ECTI,EUEL,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Eudromia formosa,Quebracho crested-tinamou,quctin1,species,216.0,QCTI QUCT,EUFO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamotis pentlandii,Puna tinamou,puntin1,species,219.0,PUTI,TIPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamotis ingoufi,Patagonian tinamou,pattin1,species,220.0,PATI,TIIN,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamidae sp.,tinamou sp.,tinamo1,spuh,221.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Anhima cornuta,Anhuma,horscr1,species,223.0,HOSC,ANCO,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Chauna torquata,Tachã,souscr1,species,224.0,SOSC,CHTO,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Chauna chavaria,Northern screamer,norscr1,species,225.0,NOSC,CHCH,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Anseranas semipalmata,Magpie goose,maggoo1,species,227.0,MAGO,ANSE,,Anseriformes,Magpie Goose,Anseranatidae,,,,ansera1
Dendrocygna guttata,Spotted whistling-duck,spwduc1,species,229.0,SPWD SWDU,DEGU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna eytoni,Plumed whistling-duck,plwduc1,species,230.0,PLWD PWDU,DEEY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna viduata,Irerê,wfwduc1,species,231.0,,DEVI,WFWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna guttata x viduata,Spotted x white-faced whistling-duck (hybrid),x00721,hybrid,232.0,SPWD WFWD SWDU,DEGU DEVI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna autumnalis,Marreca-d'asa-branca,bbwduc,species,233.0,,DEAU,BBWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna autumnalis fulgens,Marreca-d'asa-branca (fulgens),bkbwhd1,issf,234.0,BBWD,DEAU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,bbwduc,,,anatid1
Dendrocygna autumnalis autumnalis,Marreca-d'asa-branca (autumnalis),bkbwhd2,issf,235.0,BBWD,DEAU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,bbwduc,,,anatid1
Dendrocygna viduata x autumnalis,Irerê x marreca-d'asa-branca (híbrido),x01141,hybrid,236.0,WFWD BBWD,DEAU DEVI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna arborea,West indian whistling-duck,wiwduc1,species,237.0,,DEAR,WIWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna autumnalis x arborea,Black-bellied x west indian whistling-duck (hybrid),x00775,hybrid,238.0,BBWD WIWD,DEAR DEAU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna bicolor,Marreca-caneleira,fuwduc,species,239.0,FWDU,DEBI,FUWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna viduata x bicolor,Irerê x marreca-caneleira (híbrido),x00938,hybrid,240.0,WFWD FUWD FWDU,DEBI DEVI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna autumnalis x bicolor,Marreca-d'asa-branca x marreca-caneleira (híbrido),x00875,hybrid,241.0,FUWD BBWD FWDU,DEAU DEBI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna arcuata,Wandering whistling-duck,wawduc1,species,242.0,WWDU WAWD,DEAR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna eytoni x arcuata,Plumed x wandering whistling-duck (hybrid),x00990,hybrid,246.0,WWDU PLWD PWDU WAWD,DEAR DEEY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna eytoni/arcuata,Plumed/Wandering Whistling-Duck,y01227,slash,247.0,WWDU PLWD PWDU WAWD,DEAR DEEY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna javanica,Marreca-de-java,lewduc1,species,248.0,LEWD LWDU,DEJA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna bicolor/javanica,Marreca-caneleira/Marreca-de-java,y01080,slash,249.0,FWDU LEWD FUWD LWDU,DEJA DEBI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna arcuata x javanica,Wandering x lesser whistling-duck (hybrid),x00360,hybrid,250.0,WWDU LEWD WAWD LWDU,DEAR DEJA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna sp.,marreca (Dendrocygna) sp.,whistl1,spuh,251.0,,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Thalassornis leuconotus,White-backed duck,whbduc1,species,252.0,WBDU,THLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser indicus,Ganso-de-cabeça-listada,bahgoo,species,255.0,BHGO,ANIN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser canagicus,Ganso-imperial,empgoo,species,256.0,,ANCA,EMGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens,Ganso-das-neves,snogoo,species,257.0,,ANCA,SNGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser indicus x caerulescens,Bar-headed x snow goose (hybrid),x00991,hybrid,260.0,BHGO SNGO,ANIN ANCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser rossii,Ganso-das-neves-pequeno,rosgoo,species,261.0,,ANRO,ROGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens x rossii,Ganso-das-neves x ganso-das-neves-pequeno (híbrido),sxrgoo1,hybrid,262.0,SNGO ROGO,ANRO ANCA,SRGH,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens/rossii,Ganso-das-neves/Ganso-das-neves-pequeno,y00469,slash,263.0,SNGO ROGO,ANRO ANCA,SRGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser anser,Ganso-bravo,gragoo,species,264.0,,ANAN,GRGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser anser anser,Ganso-bravo (anser),gragoo2,issf,265.0,GRGO,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gragoo,,,anatid1
Anser anser rubrirostris,Ganso-bravo (rubrirostris),gragoo3,issf,266.0,GRGO,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gragoo,,,anatid1
Anser anser (Domestic type),Ganso-bravo (forma doméstica),gragoo1,domestic,267.0,GRGO,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gragoo,,,anatid1
Anser indicus x anser,Bar-headed x graylag goose (hybrid),x00992,hybrid,268.0,BHGO GRGO,ANIN ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser canagicus x anser,Ganso-imperial x ganso-bravo (híbrido),x01119,hybrid,269.0,EMGO GRGO,ANAN ANCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser cygnoides,Ganso-africano,swagoo1,species,270.0,SWGO,ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser cygnoides (Domestic type),Ganso-africano (forma doméstica),swagoo2,domestic,271.0,SWGO,ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,swagoo1,,,anatid1
Anser indicus x cygnoides,Ganso-de-cabeça-listada x ganso-africano (híbrido),x01143,hybrid,272.0,BHGO SWGO,ANIN ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens x cygnoides,Ganso-das-neves x ganso-africano (híbrido),x01144,hybrid,273.0,SNGO SWGO,ANCA ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser indicus x caerulescens x cygnoides,Ganso-de-cabeça-listada x ganso-das-neves x ganso-africano (híbrido),x01142,hybrid,274.0,BHGO,ANIN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser anser x cygnoides,Ganso-bravo x ganso-africano (híbrido),x00776,hybrid,275.0,GRGO SWGO,ANAN ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser albifrons,Ganso-de-testa-branca,gwfgoo,species,276.0,,ANAL,GWFG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser albifrons flavirostris,Ganso-de-testa-branca-da-gronelândia,gwfgoo1,issf,277.0,GWFG,ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,,anatid1
Anser albifrons albifrons,Ganso-de-testa-branca (albifrons),gwfgoo4,issf,278.0,GWFG,ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,,anatid1
Anser albifrons gambelli/sponsa,Ganso-de-testa-branca (gambelli/sponsa),gwfgoo2,issf,279.0,GWFG,ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,,anatid1
Anser albifrons elgasi,Ganso-de-testa-branca (elgasi),gwfgoo3,issf,282.0,GWFG,ANAL,TWFG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,,anatid1
Anser indicus x albifrons,Ganso-de-cabeça-listada x ganso-de-testa-branca (híbrido),x00755,hybrid,283.0,GWFG BHGO,ANIN ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser canagicus x albifrons,Ganso-imperial x ganso-de-testa-branca (híbrido),x00361,hybrid,284.0,EMGO GWFG,ANCA ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens x albifrons,Ganso-das-neves x ganso-de-testa-branca (híbrido),x00627,hybrid,285.0,GWFG SNGO,ANCA ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser rossii x albifrons,Ganso-das-neves-pequeno x ganso-de-testa-branca (híbrido),x00362,hybrid,286.0,GWFG ROGO,ANRO ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser anser x albifrons,Ganso-bravo x ganso-de-testa-branca (híbrido),x01145,hybrid,287.0,GWFG GRGO,ANAN ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser erythropus,Ganso-pequeno,lwfgoo,species,288.0,,ANER,LWFG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser albifrons/erythropus,Ganso-de-testa-branca/Ganso-pequeno,y00707,slash,289.0,GWFG LWFG,ANER ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser fabalis,Ganso-campestre-da-taiga,taibeg1,species,290.0,BEGO TBGO,ANFA,TABG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser serrirostris,Ganso-campestre-da-tundra,tunbeg1,species,294.0,BEGO TBGO,ANSE,TUBG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser albifrons x serrirostris,Greater white-fronted goose x tundra bean-goose (hybrid),x01089,hybrid,297.0,GWFG TUBG TBGO BEGO,ANSE ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser fabalis/serrirostris,Ganso-campestre-da-taiga/Ganso-campestre-da-tundra,y00468,slash,298.0,TBGO TUBG BEGO TABG,ANSE ANFA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser brachyrhynchus,Ganso-de-bico-curto,pifgoo,species,299.0,,ANBR,PFGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser sp. (Domestic type),Ganso-bravo (doméstica),domgoo1,domestic,300.0,DGSP,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser sp.,Anser sp.,anser1,spuh,301.0,,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta bernicla,Ganso-de-faces-pretas,brant,species,302.0,BRGO,BRBE,BRAN,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta bernicla bernicla,Ganso-de-faces-pretas-comum,dabbra1,issf,303.0,BRAN BRGO,BRBE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,,anatid1
Branta bernicla hrota,Ganso-de-faces-pretas-da-gronelândia,atlbra1,issf,304.0,BRAN BRGO,BRBE,ATBR,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,,anatid1
Branta bernicla nigricans,Ganso-negro,blkbra1,issf,305.0,BRAN BRGO,BRBE,BLBR,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,,anatid1
Branta bernicla (Gray-bellied),Ganso-de-faces-pretas (ventre cinzento),gybbra1,form,306.0,BRAN BRGO,BRBE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,,anatid1
Branta bernicla bernicla x nigricans,Ganso-de-faces-pretas (bernicla x nigricans),brant2,intergrade,307.0,BRAN BRGO,BRBE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,,anatid1
Branta bernicla hrota x nigricans,Ganso-de-faces-pretas-da-gronelândia x ganso-negro,brant1,intergrade,308.0,BRAN BRGO,BRBE,BABI,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,,anatid1
Anser caerulescens x Branta bernicla,Ganso-das-neves x ganso-de-faces-pretas (híbrido),x00685,hybrid,309.0,SNGO BRAN BRGO,BRBE ANCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta leucopsis,Ganso-marisco,bargoo,species,310.0,BAGO,BRLE,BARG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser indicus x Branta leucopsis,Ganso-de-cabeça-listada x ganso-marisco (híbrido),x00363,hybrid,311.0,BAGO BHGO BARG,ANIN BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser canagicus x Branta leucopsis,Emperor x barnacle goose (hybrid),x00993,hybrid,312.0,EMGO BAGO BARG,ANCA BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens x Branta leucopsis,Snow x barnacle goose (hybrid),x00994,hybrid,313.0,BAGO SNGO BARG,ANCA BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser rossii x Branta leucopsis,Ross's x barnacle goose (hybrid),x00995,hybrid,314.0,BAGO BARG ROGO,ANRO BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser anser x Branta leucopsis,Ganso-bravo x ganso-marisco (híbrido),x00649,hybrid,315.0,BAGO GRGO BARG,ANAN BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser albifrons x Branta leucopsis,Ganso-de-testa-branca x ganso-marisco (híbrido),x00757,hybrid,316.0,GWFG BAGO BARG,BRLE ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser erythropus x Branta leucopsis,Ganso-pequeno x ganso-marisco (híbrido),x00364,hybrid,317.0,BAGO BARG LWFG,ANER BRLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
